Card Set,Number,Player,Team,Seq.
Action All-Pros Autographs,1,Todd Gurley II,Los Angeles Rams,25
Action All-Pros Autographs,2,Luke Kuechly,Carolina Panthers,25
Action All-Pros Autographs,3,Quenton Nelson,Indianapolis Colts,25
Action All-Pros Autographs,6,Patrick Mahomes II,Kansas City Chiefs,25
Action All-Pros Autographs,8,Darius Leonard,Indianapolis Colts,25
Action All-Pros Autographs,10,Stephon Gilmore,New England Patriots,25
Action All-Pros Autographs,11,Zack Martin,Dallas Cowboys,25
Action All-Pros Autographs,12,Eddie Jackson,Chicago Bears,25
Action All-Pros Autographs,13,Travis Kelce,Kansas City Chiefs,25
Action All-Pros Autographs,14,Fletcher Cox,Philadelphia Eagles,25
Action All-Pros Autographs,16,DeAndre Hopkins,Houston Texans,25
Action All-Pros Autographs,18,J.J. Watt,Houston Texans,25
Action All-Pros Autographs,20,Justin Tucker,Baltimore Ravens,25
Action All-Pros,1,Todd Gurley II,Los Angeles Rams,
Action All-Pros,2,Luke Kuechly,Carolina Panthers,
Action All-Pros,3,Quenton Nelson,Indianapolis Colts,
Action All-Pros,4,Bobby Wagner,Seattle Seahawks,
Action All-Pros,5,Aaron Donald,Los Angeles Rams,
Action All-Pros,6,Patrick Mahomes II,Kansas City Chiefs,
Action All-Pros,7,Jason Kelce,Philadelphia Eagles,
Action All-Pros,8,Darius Leonard,Indianapolis Colts,
Action All-Pros,9,Michael Thomas,New Orleans Saints,
Action All-Pros,10,Stephon Gilmore,New England Patriots,
Action All-Pros,11,Zack Martin,Dallas Cowboys,
Action All-Pros,12,Eddie Jackson,Chicago Bears,
Action All-Pros,13,Travis Kelce,Kansas City Chiefs,
Action All-Pros,14,Fletcher Cox,Philadelphia Eagles,
Action All-Pros,15,Derwin James,Los Angeles Chargers,
Action All-Pros,16,DeAndre Hopkins,Houston Texans,
Action All-Pros,17,Desmond King,Los Angeles Chargers,
Action All-Pros,18,J.J. Watt,Houston Texans,
Action All-Pros,19,Khalil Mack,Chicago Bears,
Action All-Pros,20,Justin Tucker,Baltimore Ravens,
All Pro Kings Autographs,1,Patrick Mahomes II,Kansas City Chiefs,10
All Pro Kings Autographs,3,Travis Kelce,Kansas City Chiefs,10
All Pro Kings Autographs,5,DeAndre Hopkins,Houston Texans,10
All Pro Kings Autographs,6,Zack Martin,Dallas Cowboys,10
All Pro Kings Autographs,7,J.J. Watt,Houston Texans,10
All Pro Kings Autographs,9,Luke Kuechly,Carolina Panthers,10
All Pro Kings Autographs,10,Tarik Cohen,Chicago Bears,10
All Pro Kings Autographs,11,Christian McCaffrey,Carolina Panthers,10
All Pro Kings Autographs,12,Carson Wentz,Philadelphia Eagles,10
All Pro Kings Autographs,14,Rob Gronkowski,New England Patriots,10
All Pro Kings Autographs,15,Adam Thielen,Minnesota Vikings,10
All Pro Kings Autographs,17,David Johnson,Arizona Cardinals,10
All Pro Kings Autographs,19,Aaron Rodgers,Green Bay Packers,10
All Pro Kings Autographs,20,Marshawn Lynch,Seattle Seahawks,10
All Pro Kings,1,Patrick Mahomes II,Kansas City Chiefs,299
All Pro Kings,2,Khalil Mack,Chicago Bears,299
All Pro Kings,3,Travis Kelce,Kansas City Chiefs,299
All Pro Kings,4,Michael Thomas,New Orleans Saints,299
All Pro Kings,5,DeAndre Hopkins,Houston Texans,299
All Pro Kings,6,Zack Martin,Dallas Cowboys,299
All Pro Kings,7,J.J. Watt,Houston Texans,299
All Pro Kings,8,Aaron Donald,Los Angeles Rams,250
All Pro Kings,9,Luke Kuechly,Carolina Panthers,299
All Pro Kings,10,Tarik Cohen,Chicago Bears,250
All Pro Kings,11,Christian McCaffrey,Carolina Panthers,299
All Pro Kings,12,Carson Wentz,Philadelphia Eagles,299
All Pro Kings,13,Alvin Kamara,New Orleans Saints,299
All Pro Kings,14,Rob Gronkowski,New England Patriots,299
All Pro Kings,15,Adam Thielen,Minnesota Vikings,299
All Pro Kings,16,Pharoh Cooper,Los Angeles Rams,299
All Pro Kings,17,David Johnson,Arizona Cardinals,299
