Card Set,Number,Player,Team,Seq.
2018 HOF Tribute Prizm,1,Randy Moss,Minnesota Vikings,
2018 HOF Tribute Prizm,2,Randy Moss,New England Patriots,
2018 HOF Tribute Prizm,3,Randy Moss,Oakland Raiders,
2018 HOF Tribute Prizm,4,Randy Moss,Minnesota Vikings,
2018 HOF Tribute Prizm,5,Brian Urlacher,Chicago Bears,
2018 HOF Tribute Prizm,6,Brian Urlacher,Chicago Bears,
2018 HOF Tribute Prizm,7,Brian Urlacher,Chicago Bears,
2018 HOF Tribute Prizm,8,Brian Urlacher,Chicago Bears,
2018 HOF Tribute Prizm,9,Brian Dawkins,Philadelphia Eagles,
2018 HOF Tribute Prizm,10,Brian Dawkins,Denver Broncos,
2018 HOF Tribute Prizm,11,Brian Dawkins,Philadelphia Eagles,
2018 HOF Tribute Prizm,12,Brian Dawkins,Denver Broncos,
2018 HOF Tribute Prizm,13,Ray Lewis,Baltimore Ravens,
2018 HOF Tribute Prizm,14,Ray Lewis,Baltimore Ravens,
2018 HOF Tribute Prizm,15,Ray Lewis,Baltimore Ravens,
2018 HOF Tribute Prizm Black Finite,1,Randy Moss,Minnesota Vikings,1
2018 HOF Tribute Prizm Black Finite,2,Randy Moss,New England Patriots,1
2018 HOF Tribute Prizm Black Finite,3,Randy Moss,Oakland Raiders,1
2018 HOF Tribute Prizm Black Finite,4,Randy Moss,Minnesota Vikings,1
2018 HOF Tribute Prizm Black Finite,5,Brian Urlacher,Chicago Bears,1
2018 HOF Tribute Prizm Black Finite,6,Brian Urlacher,Chicago Bears,1
2018 HOF Tribute Prizm Black Finite,7,Brian Urlacher,Chicago Bears,1
2018 HOF Tribute Prizm Black Finite,8,Brian Urlacher,Chicago Bears,1
2018 HOF Tribute Prizm Black Finite,9,Brian Dawkins,Philadelphia Eagles,1
2018 HOF Tribute Prizm Black Finite,10,Brian Dawkins,Denver Broncos,1
2018 HOF Tribute Prizm Black Finite,11,Brian Dawkins,Philadelphia Eagles,1
2018 HOF Tribute Prizm Black Finite,12,Brian Dawkins,Denver Broncos,1
2018 HOF Tribute Prizm Black Finite,13,Ray Lewis,Baltimore Ravens,1
2018 HOF Tribute Prizm Black Finite,14,Ray Lewis,Baltimore Ravens,1
2018 HOF Tribute Prizm Black Finite,15,Ray Lewis,Baltimore Ravens,1
2018 HOF Tribute Prizm Gold Mojo,1,Randy Moss,Minnesota Vikings,10
2018 HOF Tribute Prizm Gold Mojo,2,Randy Moss,New England Patriots,10
2018 HOF Tribute Prizm Gold Mojo,3,Randy Moss,Oakland Raiders,10
2018 HOF Tribute Prizm Gold Mojo,4,Randy Moss,Minnesota Vikings,10
2018 HOF Tribute Prizm Gold Mojo,5,Brian Urlacher,Chicago Bears,10
2018 HOF Tribute Prizm Gold Mojo,6,Brian Urlacher,Chicago Bears,10
2018 HOF Tribute Prizm Gold Mojo,7,Brian Urlacher,Chicago Bears,10
2018 HOF Tribute Prizm Gold Mojo,8,Brian Urlacher,Chicago Bears,10
2018 HOF Tribute Prizm Gold Mojo,9,Brian Dawkins,Philadelphia Eagles,10
2018 HOF Tribute Prizm Gold Mojo,10,Brian Dawkins,Denver Broncos,10
2018 HOF Tribute Prizm Gold Mojo,11,Brian Dawkins,Philadelphia Eagles,10
2018 HOF Tribute Prizm Gold Mojo,12,Brian Dawkins,Denver Broncos,10
2018 HOF Tribute Prizm Gold Mojo,13,Ray Lewis,Baltimore Ravens,10
2018 HOF Tribute Prizm Gold Mojo,14,Ray Lewis,Baltimore Ravens,10
2018 HOF Tribute Prizm Gold Mojo,15,Ray Lewis,Baltimore Ravens,10
Apex Prizm,1,Tom Brady,New England Patriots,
Apex Prizm,2,Nick Foles,Philadelphia Eagles,
Apex Prizm,3,Von Miller,Denver Broncos,
Apex Prizm,4,Joe Flacco,Baltimore Ravens,
Apex Prizm,5,Eli Manning,New York Giants,
Apex Prizm,6,Aaron Rodgers,Green Bay Packers,
Apex Prizm,7,Drew Brees,New Orleans Saints,
Apex Prizm,8,James Harrison,Pittsburgh Steelers,
Apex Prizm,9,Peyton Manning,Indianapolis Colts,
Apex Prizm,10,Hines Ward,Pittsburgh Steelers,
Apex Prizm,11,Ray Lewis,Baltimore Ravens,
Apex Prizm,12,Kurt Warner,St. Louis Rams,
Apex Prizm,13,John Elway,Denver Broncos,
Apex Prizm,14,Terrell Davis,Denver Broncos,
Apex Prizm,15,James White,New England Patriots,
Apex Prizm,16,Russell Wilson,Seattle Seahawks,
Apex Prizm,17,Ben Roethlisberger,Pittsburgh Steelers,
Apex Prizm,18,Jordy Nelson,Green Bay Packers,
Apex Prizm,19,Steve Young,San Francisco 49ers,
Apex Prizm,20,Emmitt Smith,Dallas Cowboys,
Apex Prizm,21,Troy Aikman,Dallas Cowboys,
Apex Prizm,22,Marcus Allen,Los Angeles Raiders,
Apex Prizm,23,John Riggins,Washington Redskins,
Apex Prizm,24,Joe Montana,San Francisco 49ers,
Apex Prizm,25,Terry Bradshaw,Pittsburgh Steelers,
Apex Prizm Black Finite,1,Tom Brady,New England Patriots,1
Apex Prizm Black Finite,2,Nick Foles,Philadelphia Eagles,1
Apex Prizm Black Finite,3,Von Miller,Denver Broncos,1
Apex Prizm Black Finite,4,Joe Flacco,Baltimore Ravens,1
Apex Prizm Black Finite,5,Eli Manning,New York Giants,1
Apex Prizm Black Finite,6,Aaron Rodgers,Green Bay Packers,1
Apex Prizm Black Finite,7,Drew Brees,New Orleans Saints,1
Apex Prizm Black Finite,8,James Harrison,Pittsburgh Steelers,1
Apex Prizm Black Finite,9,Peyton Manning,Indianapolis Colts,1
Apex Prizm Black Finite,10,Hines Ward,Pittsburgh Steelers,1
Apex Prizm Black Finite,11,Ray Lewis,Baltimore Ravens,1
Apex Prizm Black Finite,12,Kurt Warner,St. Louis Rams,1
Apex Prizm Black Finite,13,John Elway,Denver Broncos,1
Apex Prizm Black Finite,14,Terrell Davis,Denver Broncos,1
Apex Prizm Black Finite,15,James White,New England Patriots,1
Apex Prizm Black Finite,16,Russell Wilson,Seattle Seahawks,1
Apex Prizm Black Finite,17,Ben Roethlisberger,Pittsburgh Steelers,1
Apex Prizm Black Finite,18,Jordy Nelson,Green Bay Packers,1
Apex Prizm Black Finite,19,Steve Young,San Francisco 49ers,1
Apex Prizm Black Finite,20,Emmitt Smith,Dallas Cowboys,1
Apex Prizm Black Finite,21,Troy Aikman,Dallas Cowboys,1
Apex Prizm Black Finite,22,Marcus Allen,Los Angeles Raiders,1
Apex Prizm Black Finite,23,John Riggins,Washington Redskins,1
Apex Prizm Black Finite,24,Joe Montana,San Francisco 49ers,1
Apex Prizm Black Finite,25,Terry Bradshaw,Pittsburgh Steelers,1
Apex Prizm Gold Mojo,1,Tom Brady,New England Patriots,10
Apex Prizm Gold Mojo,2,Nick Foles,Philadelphia Eagles,10
Apex Prizm Gold Mojo,3,Von Miller,Denver Broncos,10
Apex Prizm Gold Mojo,4,Joe Flacco,Baltimore Ravens,10
