Card Set,Number,Player,Team,Seq.
All Americans,5,Kyler Murray,Oklahoma Sooners,
All Americans,30,Marquise Brown,Oklahoma Sooners,
All Americans,45,Mecole Hardman Jr.,Georgia Bulldogs,
All Americans,75,Deebo Samuel,South Carolina Gamecocks,
All Americans,90,Darrell Henderson,Memphis Tigers,
All Americans Black,5,Kyler Murray,Oklahoma Sooners,1
All Americans Black,30,Marquise Brown,Oklahoma Sooners,1
All Americans Black,45,Mecole Hardman Jr.,Georgia Bulldogs,1
All Americans Black,75,Deebo Samuel,South Carolina Gamecocks,1
All Americans Black,90,Darrell Henderson,Memphis Tigers,1
All Americans Black Ice,5,Kyler Murray,Oklahoma Sooners,1
All Americans Black Ice,30,Marquise Brown,Oklahoma Sooners,1
All Americans Black Ice,45,Mecole Hardman Jr.,Georgia Bulldogs,1
All Americans Black Ice,75,Deebo Samuel,South Carolina Gamecocks,1
All Americans Black Ice,90,Darrell Henderson,Memphis Tigers,1
All Americans Black Mosaic,5,Kyler Murray,Oklahoma Sooners,1
All Americans Black Mosaic,30,Marquise Brown,Oklahoma Sooners,1
All Americans Black Mosaic,45,Mecole Hardman Jr.,Georgia Bulldogs,1
All Americans Black Mosaic,75,Deebo Samuel,South Carolina Gamecocks,1
All Americans Black Mosaic,90,Darrell Henderson,Memphis Tigers,1
All Americans Blue,5,Kyler Murray,Oklahoma Sooners,
All Americans Blue,30,Marquise Brown,Oklahoma Sooners,
All Americans Blue,45,Mecole Hardman Jr.,Georgia Bulldogs,
All Americans Blue,75,Deebo Samuel,South Carolina Gamecocks,
All Americans Blue,90,Darrell Henderson,Memphis Tigers,
All Americans Blue Wave,5,Kyler Murray,Oklahoma Sooners,299
All Americans Blue Wave,30,Marquise Brown,Oklahoma Sooners,299
All Americans Blue Wave,45,Mecole Hardman Jr.,Georgia Bulldogs,299
All Americans Blue Wave,75,Deebo Samuel,South Carolina Gamecocks,299
All Americans Blue Wave,90,Darrell Henderson,Memphis Tigers,299
All Americans Camo,5,Kyler Murray,Oklahoma Sooners,25
All Americans Camo,30,Marquise Brown,Oklahoma Sooners,25
All Americans Camo,45,Mecole Hardman Jr.,Georgia Bulldogs,25
All Americans Camo,75,Deebo Samuel,South Carolina Gamecocks,25
All Americans Camo,90,Darrell Henderson,Memphis Tigers,25
All Americans Carolina Blue,5,Kyler Murray,Oklahoma Sooners,30
All Americans Carolina Blue,30,Marquise Brown,Oklahoma Sooners,30
All Americans Carolina Blue,45,Mecole Hardman Jr.,Georgia Bulldogs,30
All Americans Carolina Blue,75,Deebo Samuel,South Carolina Gamecocks,30
All Americans Carolina Blue,90,Darrell Henderson,Memphis Tigers,30
All Americans Gold,5,Kyler Murray,Oklahoma Sooners,10
All Americans Gold,30,Marquise Brown,Oklahoma Sooners,10
All Americans Gold,45,Mecole Hardman Jr.,Georgia Bulldogs,10
All Americans Gold,75,Deebo Samuel,South Carolina Gamecocks,10
All Americans Gold,90,Darrell Henderson,Memphis Tigers,10
All Americans Gold Ice,5,Kyler Murray,Oklahoma Sooners,7
All Americans Gold Ice,30,Marquise Brown,Oklahoma Sooners,7
All Americans Gold Ice,45,Mecole Hardman Jr.,Georgia Bulldogs,7
All Americans Gold Ice,75,Deebo Samuel,South Carolina Gamecocks,7
All Americans Gold Ice,90,Darrell Henderson,Memphis Tigers,7
All Americans Gold Vinyl,5,Kyler Murray,Oklahoma Sooners,5
All Americans Gold Vinyl,30,Marquise Brown,Oklahoma Sooners,5
All Americans Gold Vinyl,45,Mecole Hardman Jr.,Georgia Bulldogs,5
All Americans Gold Vinyl,75,Deebo Samuel,South Carolina Gamecocks,5
All Americans Gold Vinyl,90,Darrell Henderson,Memphis Tigers,5
All Americans Green,5,Kyler Murray,Oklahoma Sooners,
All Americans Green,30,Marquise Brown,Oklahoma Sooners,
All Americans Green,45,Mecole Hardman Jr.,Georgia Bulldogs,
All Americans Green,75,Deebo Samuel,South Carolina Gamecocks,
All Americans Green,90,Darrell Henderson,Memphis Tigers,
All Americans Green and Yellow,5,Kyler Murray,Oklahoma Sooners,249
All Americans Green and Yellow,30,Marquise Brown,Oklahoma Sooners,249
All Americans Green and Yellow,45,Mecole Hardman Jr.,Georgia Bulldogs,249
All Americans Green and Yellow,75,Deebo Samuel,South Carolina Gamecocks,249
All Americans Green and Yellow,90,Darrell Henderson,Memphis Tigers,249
All Americans Green Ice,5,Kyler Murray,Oklahoma Sooners,18
All Americans Green Ice,30,Marquise Brown,Oklahoma Sooners,18
All Americans Green Ice,45,Mecole Hardman Jr.,Georgia Bulldogs,18
All Americans Green Ice,75,Deebo Samuel,South Carolina Gamecocks,18
All Americans Green Ice,90,Darrell Henderson,Memphis Tigers,18
All Americans Hyper,5,Kyler Murray,Oklahoma Sooners,75
All Americans Hyper,30,Marquise Brown,Oklahoma Sooners,75
All Americans Hyper,45,Mecole Hardman Jr.,Georgia Bulldogs,75
All Americans Hyper,75,Deebo Samuel,South Carolina Gamecocks,75
All Americans Hyper,90,Darrell Henderson,Memphis Tigers,75
All Americans Mojo,5,Kyler Murray,Oklahoma Sooners,49
All Americans Mojo,30,Marquise Brown,Oklahoma Sooners,49
All Americans Mojo,45,Mecole Hardman Jr.,Georgia Bulldogs,49
