Card Set,Number,Player,Team,Seq.
1981 Tribute Blue,19,Jameis Winston,Tampa Bay Buccaneers,149
1981 Tribute Blue,20,J.J. Watt,Houston Texans,149
1981 Tribute Blue,21,Kirk Cousins,Washington Redskins,149
1981 Tribute Blue,22,Adrian Peterson,New Orleans Saints,149
1981 Tribute Blue,23,Derek Carr,Oakland Raiders,149
1981 Tribute Blue,24,Matt Ryan,Atlanta Falcons,149
1981 Tribute Blue,25,Le'Veon Bell,Pittsburgh Steelers,149
1981 Tribute Blue,26,Dak Prescott,Dallas Cowboys,149
1981 Tribute Blue,27,Russell Wilson,Seattle Seahawks,149
1981 Tribute Blue,28,Matthew Stafford,Detroit Lions,149
1981 Tribute Blue,29,Marcus Mariota,Tennessee Titans,149
1981 Tribute Blue,30,Andrew Luck,Indianapolis Colts,149
1981 Tribute Blue,31,Devonta Freeman,Atlanta Falcons,149
1981 Tribute Blue,32,Tom Brady,New England Patriots,149
1981 Tribute Blue,33,Amari Cooper,Oakland Raiders,149
1981 Tribute Blue,34,Cam Newton,Carolina Panthers,149
1981 Tribute Blue,35,David Johnson,Arizona Cardinals,149
1981 Tribute Gold,1,DeMarco Murray,Tennessee Titans,10
1981 Tribute Gold,2,Todd Gurley II,Los Angeles Rams,10
1981 Tribute Gold,3,Drew Brees,New Orleans Saints,10
1981 Tribute Gold,4,Larry Fitzgerald,Arizona Cardinals,10
1981 Tribute Gold,5,Carson Wentz,Philadelphia Eagles,10
1981 Tribute Gold,6,Jordan Howard,Chicago Bears,10
1981 Tribute Gold,7,Antonio Brown,Pittsburgh Steelers,10
1981 Tribute Gold,8,Ezekiel Elliott,Dallas Cowboys,10
1981 Tribute Gold,9,Richard Sherman,Seattle Seahawks,10
1981 Tribute Gold,10,Aaron Rodgers,Green Bay Packers,10
1981 Tribute Gold,11,Khalil Mack,Oakland Raiders,10
1981 Tribute Gold,12,Jarvis Landry,Miami Dolphins,10
1981 Tribute Gold,13,Odell Beckham Jr.,New York Giants,10
1981 Tribute Gold,14,Julio Jones,Atlanta Falcons,10
1981 Tribute Gold,15,Ben Roethlisberger,Pittsburgh Steelers,10
1981 Tribute Gold,16,A.J. Green,Cincinnati Bengals,10
1981 Tribute Gold,17,Philip Rivers,Los Angeles Chargers,10
1981 Tribute Gold,18,Von Miller,Denver Broncos,10
1981 Tribute Gold,19,Jameis Winston,Tampa Bay Buccaneers,10
1981 Tribute Gold,20,J.J. Watt,Houston Texans,10
1981 Tribute Gold,21,Kirk Cousins,Washington Redskins,10
1981 Tribute Gold,22,Adrian Peterson,New Orleans Saints,10
1981 Tribute Gold,23,Derek Carr,Oakland Raiders,10
1981 Tribute Gold,24,Matt Ryan,Atlanta Falcons,10
1981 Tribute Gold,25,Le'Veon Bell,Pittsburgh Steelers,10
1981 Tribute Gold,26,Dak Prescott,Dallas Cowboys,10
1981 Tribute Gold,27,Russell Wilson,Seattle Seahawks,10
1981 Tribute Gold,28,Matthew Stafford,Detroit Lions,10
1981 Tribute Gold,29,Marcus Mariota,Tennessee Titans,10
1981 Tribute Gold,30,Andrew Luck,Indianapolis Colts,10
1981 Tribute Gold,31,Devonta Freeman,Atlanta Falcons,10
1981 Tribute Gold,32,Tom Brady,New England Patriots,10
1981 Tribute Gold,33,Amari Cooper,Oakland Raiders,10
1981 Tribute Gold,34,Cam Newton,Carolina Panthers,10
1981 Tribute Gold,35,David Johnson,Arizona Cardinals,10
1981 Tribute Gold Vinyl,1,DeMarco Murray,Tennessee Titans,1
1981 Tribute Gold Vinyl,2,Todd Gurley II,Los Angeles Rams,1
1981 Tribute Gold Vinyl,3,Drew Brees,New Orleans Saints,1
1981 Tribute Gold Vinyl,4,Larry Fitzgerald,Arizona Cardinals,1
