2017 TOPPS BASEBALL UPDATE SERIES,,,,
BASE,,,,
US103,Matt Adams,Atlanta Braves,,
US104,Sam Gaviglio,Seattle Mariners,Rookie,
US105,John Brebbia,St. Louis Cardinals,Rookie,
US106,Kendrys Morales,Toronto Blue Jays,,
US107,Andrew Bailey,Angels,,
US108,Wilson Ramos,Tampa Bay Rays,,
US109,Ben Revere,Angels,,
US110,Corey Seager,Los Angeles Dodgers,,MLB All-Stars
US111,“MEAT” OF THE METS,New York Mets,,
US112,Ryan Zimmerman,Washington Nationals,,MLB All-Stars
US113,Franklin Barreto,Oakland Athletics,Rookie,Rookie Debut
US114,Pat Neshek,Philadelphia Phillies,,MLB All-Stars
US115,“M” IS FOR “MASHING”,American LeagueTM,,
US116,Tyler Glasnow,Pittsburgh Pirates,Rookie,Rookie Debut
US117,Neftali Feliz,Kansas City Royals,,
US118,Bradley Zimmer,Cleveland Indians,Rookie,Rookie Debut
US119,Greg Holland,Colorado Rockies,,
US120,Carlos Beltran,Houston Astros,,
US121,Daniel Murphy,Washington Nationals,,MLB All-Stars
US122,COMING TO AMERICA,American LeagueTM,,
US123,Colby Rasmus,Tampa Bay Rays,,
US124,Nick Hundley,San Francisco Giants,,
US125,Yoan Moncada,Boston Red Sox,Rookie,Rookie Debut
US126,Austin Slater,San Francisco Giants,Rookie,
US127,Antonio Senzatela,Colorado Rockies,Rookie,
US128,Ervin Santana,Minnesota Twins,,MLB All-Stars
US129,Brooks Pounders,Angels,,
US130,Zack Greinke,Arizona Diamondbacks,,MLB All-Stars
US131,Doug Fister,Boston Red Sox,,
US132,Dallas Keuchel,Houston Astros,,MLB All-Stars
US133,Keynan Middleton,Angels,Rookie,
US134,Justin Bour,Miami Marlins,,MLB HR Derby
US135,Chase De Jong,Seattle Mariners,Rookie,
US136,Josh Harrison,Pittsburgh Pirates,,MLB All-Stars
US137,Daniel Hudson,Pittsburgh Pirates,,
US138,Logan Verrett,Baltimore Orioles,,
US139,Luis Castillo,Cincinnati Reds,Rookie,
US140,Sal Romano,Cincinnati Reds,Rookie,
US141,Bryce Harper,Washington Nationals,,MLB All-Stars
US142,Tzu-Wei Lin,Boston Red Sox,Rookie,
US143,Trevor Cahill,San Diego Padres,,
US144,Charlie Blackmon,Colorado Rockies,,MLB All-Stars
US145,Dillon Overton,San Diego Padres,,
US146,David Dahl,Colorado Rockies,Rookie,Rookie Debut
US147,Jose Alvarado,Tampa Bay Rays,Rookie,
,Austin Pruitt,Tampa Bay Rays,Rookie,
US148,THE NEXT DYNASTY,New York Yankees,,
US149,James Pazos,Seattle Mariners,,
US150,Alex Bregman,Houston Astros,Rookie,Rookie Debut
US151,Yandy Diaz,Cleveland Indians,Rookie,
US152,Robinson Cano,Seattle Mariners,,MLB All-Stars
US153,Robbie Ray,Arizona Diamondbacks,,MLB All-Stars
US154,Franklin Gutierrez,Los Angeles Dodgers,,
US155,RUN AND HIT,Cincinnati Reds,,
US156,Yu Darvish,Texas Rangers,,MLB All-Stars
US157,Corey Dickerson,Tampa Bay Rays,,MLB All-Stars
US158,Phillip Ervin,Cincinnati Reds,Rookie,
US159,JT Riddle,Miami Marlins,Rookie,
US160,Ben Lively,Philadelphia Phillies,Rookie,
,Andrew Knapp,Philadelphia Phillies,Rookie,
US161,Justin Haley,Minnesota Twins,Rookie,
US162,Sean Newcomb,Atlanta Braves,Rookie,
US163,Edinson Volquez,Miami Marlins,,
US164,Carlos Martinez,St. Louis Cardinals,,MLB All-Stars
US165,Boone Logan,Cleveland Indians,,

US166,Aaron Judge,New York Yankees,Rookie,MLB All-Stars
US167,Drew Smyly,Seattle Mariners,,
US168,Michael Conforto,New York Mets,,MLB All-Stars
US169,A.J. Ellis,Miami Marlins,,
US170,Cameron Maybin,Angels,,
US171,Brock Stassi,Philadelphia Phillies,Rookie,
US172,Jason Hammel,Kansas City Royals,,
US173,Chris Coghlan,Toronto Blue Jays,,
US174,Brandon Moss,Kansas City Royals,,
US175,Jose Altuve,Houston Astros,,MLB All-Stars
US176,HISTORY MAKERS,Chicago Cubs,,
