BASE,,,
121,Carlos Santana,Cleveland Indians®,
122,Cleveland Indians,Cleveland Indians®,
123,Jean Segura,Arizona Diamondbacks®,
124,Travis Jankowski,San Diego PadresTM,
125,Yangervis Solarte,San Diego PadresTM,
126,Miguel Sano,Minnesota Twins®,
127,Michael Bourn,Baltimore Orioles®,
128,Adam Duvall,Cincinnati Reds®,
129,Adonis Garcia,Atlanta BravesTM,
130,Dustin Pedroia,Boston Red Sox®,
131,J.A. Happ,Toronto Blue Jays®,League Leaders
132,Randal Grichuk,St. Louis Cardinals®,
133,Jace Peterson,Atlanta BravesTM,
134,Chase Utley,Los Angeles Dodgers®,
135,Jered Weaver,Angels®,
136,Matt Reynolds,New York Mets®,
137,Yan Gomes,Cleveland Indians®,
138,Tyson Ross,San Diego PadresTM,
139,JaCoby Jones,Detroit Tigers®,Rookie
140,Jesse Hahn,Oakland AthleticsTM,
141,Baltimore Orioles,Baltimore Orioles®,
142,Carlos Ruiz,Los Angeles Dodgers®,
143,Nick Noonan,San Diego PadresTM,
144,Jon Lester,Chicago Cubs®,League Leaders
145,Max Scherzer,Washington Nationals®,League Leaders
146,Chad Pinder,Oakland AthleticsTM,Rookie
147,Marcus Stroman,Toronto Blue Jays®,
148,Tim Anderson,Chicago White Sox®,
149,Gregory Polanco,Pittsburgh Pirates®,
150,Miguel Cabrera,Detroit Tigers®,
151,Jonathan Villar,Milwaukee BrewersTM,
152,Nolan Arenado,Colorado RockiesTM,League Leaders
153,Nori Aoki,Seattle MarinersTM,
154,Kevin Kiermaier,Tampa Bay RaysTM,

155,Jacob deGrom,New York Mets®,
156,Alex Colome,Tampa Bay RaysTM,
157,Sean Doolittle,Oakland AthleticsTM,
158,Tommy Pham,St. Louis Cardinals®,
159,Justin Verlander,Detroit Tigers®,League Leaders
160,Evan Gattis,Houston Astros®,
161,Mookie Betts,Boston Red Sox®,
162,Jon Lester,Chicago Cubs®,League Leaders
163,Adam Conley,Miami Marlins®,
164,Matt Harvey,New York Mets®,
165,Corey Dickerson,Tampa Bay RaysTM,
166,Jorge Soler,Chicago Cubs®,
167,Lorenzo Cain,Kansas City Royals®,
168,Ryan Zimmerman,Washington Nationals®,
169,Steve Pearce,Baltimore Orioles®,
170,Chris Carter,Milwaukee BrewersTM,League Leaders
171,Seth Smith,Seattle MarinersTM,
172,Wilmer Flores,New York Mets®,
173,Chicago White Sox,Chicago White Sox®,
174,Philadelphia Phillies,Philadelphia Phillies®,
175,Houston Astros,Houston Astros®,
176,Jaime Garcia,St. Louis Cardinals®,
177,Sonny Gray,Oakland AthleticsTM,
178,Rick Porcello,Boston Red Sox®,
179,Matt Moore,San Francisco Giants®,
180,Jake McGee,Colorado RockiesTM,
181,Aaron Hicks,New York Yankees®,
182,Keon Broxton,Milwaukee BrewersTM,
183,Wade Miley,Baltimore Orioles®,
184,Oswaldo Arcia,San Diego PadresTM,
185,Raisel Iglesias,Cincinnati Reds®,
186,Andrew Cashner,Miami Marlins®,
187,Sean Manaea,Oakland AthleticsTM,
188,Caleb Cotham,Cincinnati Reds®,
189,Angels,Angels®,
190,Blake Snell,Tampa Bay RaysTM,
191,Wilson Ramos,Washington Nationals®,
192,San Diego Padres,San Diego PadresTM,
193,Jimmy Nelson,Milwaukee BrewersTM,
194,A.J. Ramos,Miami Marlins®,
195,Edwin Encarnacion,Toronto Blue Jays®,League Leaders
196,Colby Rasmus,Houston Astros®,
