Card Set,Number,Player,Team
2015 AFL Fall Stars,AFL-AB,Alex Blandino,Cincinnati Reds
2015 AFL Fall Stars,AFL-ABW,Adam Brett Walker,Minnesota Twins
2015 AFL Fall Stars,AFL-AD,Austin Dean,Miami Marlins
2015 AFL Fall Stars,AFL-AE,Adam Engel,Chicago White Sox
2015 AFL Fall Stars,AFL-AM,Austin Meadows,Pittsburgh Pirates
2015 AFL Fall Stars,AFL-CA,Christian Arroyo,San Francisco Giants
2015 AFL Fall Stars,AFL-CF,Clint Frazier,Cleveland Indians
2015 AFL Fall Stars,AFL-CP,Chad Pinder,Oakland Athletics
2015 AFL Fall Stars,AFL-DF,Derek Fisher,Houston Astros
2015 AFL Fall Stars,AFL-DP,D.J. Peterson,Seattle Mariners
2015 AFL Fall Stars,AFL-JB,Jake Bauers,Tampa Bay Rays
2015 AFL Fall Stars,AFL-JP,Jurickson Profar,Texas Rangers
2015 AFL Fall Stars,AFL-KF,Kyle Freeland,Colorado Rockies
2015 AFL Fall Stars,AFL-LS,Lucas Sims,Atlanta Braves
2015 AFL Fall Stars,AFL-NB,Renato Nunez,Oakland Athletics
2015 AFL Fall Stars,AFL-RM,Reese McGuire,Pittsburgh Pirates
2015 AFL Fall Stars,AFL-RT,Raimel Tapia,Colorado Rockies
2015 AFL Fall Stars,AFL-SM,Sean Manaea,Oakland Athletics
2015 AFL Fall Stars,AFL-ST,Sam Travis,Boston Red Sox
2015 AFL Fall Stars,AFL-WC,Willson Contreras,Chicago Cubs
2015 AFL Fall Stars Autographs,AFL-AB,Alex Blandino,Cincinnati Reds
2015 AFL Fall Stars Autographs,AFL-ABW,Adam Brett Walker,Minnesota Twins
2015 AFL Fall Stars Autographs,AFL-CP,Chad Pinder,Oakland Athletics
2015 AFL Fall Stars Autographs,AFL-DP,D.J. Peterson,Seattle Mariners
2015 AFL Fall Stars Autographs,AFL-JB,Jake Bauers,Tampa Bay Rays
2015 AFL Fall Stars Autographs,AFL-JP,Jurickson Profar,Texas Rangers
2015 AFL Fall Stars Autographs,AFL-LS,Lucas Sims,Atlanta Braves
2015 AFL Fall Stars Autographs,AFL-WC,Willson Contreras,Chicago Cubs
2015 AFL Fall Stars Autograph Relics,AFLR-AB,Alex Blandino,Cincinnati Reds
2015 AFL Fall Stars Autograph Relics,AFLR-AE,Adam Engel,Chicago White Sox
2015 AFL Fall Stars Autograph Relics,AFLR-DF,Derek Fisher,Houston Astros
2015 AFL Fall Stars Autograph Relics,AFLR-GS,Gary Sanchez,New York Yankees
2015 AFL Fall Stars Autograph Relics,AFLR-JC,Jeimer Candelario,Chicago Cubs
2015 AFL Fall Stars Autograph Relics,AFLR-JP,Jurickson Profar,Texas Rangers
2015 AFL Fall Stars Autograph Relics,AFLR-RM,Reese McGuire,Pittsburgh Pirates
2015 AFL Fall Stars Relics,AFLR-ABW,Adam Brett Walker,Minnesota Twins
2015 AFL Fall Stars Relics,AFLR-AD,Austin Dean,Miami Marlins
2015 AFL Fall Stars Relics,AFLR-AK,Andrew Knapp,Philadelphia Phillies
2015 AFL Fall Stars Relics,AFLR-AM,Austin Meadows,Pittsburgh Pirates
2015 AFL Fall Stars Relics,AFLR-CA,Christian Arroyo,San Francisco Giants
2015 AFL Fall Stars Relics,AFLR-CF,Clint Frazier,Cleveland Indians
2015 AFL Fall Stars Relics,AFLR-CP,Chad Pinder,Oakland Athletics
2015 AFL Fall Stars Relics,AFLR-DP,D.J. Peterson,Seattle Mariners
2015 AFL Fall Stars Relics,AFLR-GS,Gary Sanchez,New York Yankees
2015 AFL Fall Stars Relics,AFLR-JB,Jake Bauers,Tampa Bay Rays
2015 AFL Fall Stars Relics,AFLR-JP,Jurickson Profar,Texas Rangers
2015 AFL Fall Stars Relics,AFLR-KF,Kyle Freeland,Colorado Rockies
2015 AFL Fall Stars Relics,AFLR-LS,Lucas Sims,Atlanta Braves
2015 AFL Fall Stars Relics,AFLR-RN,Renato Nunez,Oakland Athletics
2015 AFL Fall Stars Relics,AFLR-RT,Rowdy Tellez,Toronto Blue Jays
2015 AFL Fall Stars Relics,AFLR-RTA,Raimel Tapia,Colorado Rockies
2015 AFL Fall Stars Relics,AFLR-SM,Sean Manaea,Oakland Athletics
2015 AFL Fall Stars Relics,AFLR-ST,Sam Travis,Boston Red Sox
2015 AFL Fall Stars MVP Short Print,AFLS-GS,Gary Sanchez,New York Yankees
2015 AFL Fall Stars Autographs MVP Short Print,AFLA-GS,Gary Sanchez,New York Yankees
2016 Bowman,1,Mike Trout,Los Angeles Angels
2016 Bowman,2,Josh Donaldson,Toronto Blue Jays
2016 Bowman,3,Albert Pujols,Los Angeles Angels
2016 Bowman,5,Paul Goldschmidt,Arizona Diamondbacks
2016 Bowman,6,Yasmany Tomas,Arizona Diamondbacks
2016 Bowman,7,Freddie Freeman,Atlanta Braves
2016 Bowman,10,David Ortiz,Boston Red Sox
2016 Bowman,11,Manny Machado,Baltimore Orioles
2016 Bowman,12,Chris Davis,Baltimore Orioles
2016 Bowman,13,Mookie Betts,Boston Red Sox
2016 Bowman,14,Adam Jones,Baltimore Orioles
2016 Bowman,16,Xander Bogaerts,Boston Red Sox
2016 Bowman,17,Jon Lester,Chicago Cubs
2016 Bowman,18,Jake Arrieta,Chicago Cubs
2016 Bowman,20,Kris Bryant,Chicago Cubs
2016 Bowman,23,Chris Sale,Chicago White Sox
2016 Bowman,27,Joey Votto,Cincinnati Reds
2016 Bowman,28,Francisco Lindor,Cleveland Indians
2016 Bowman,30,Carlos Correa,Houston Astros
2016 Bowman,33,Miguel Cabrera,Detroit Tigers
2016 Bowman,34,Ian Kinsler,Detroit Tigers
2016 Bowman,38,Dallas Keuchel,Houston Astros
2016 Bowman,39,Jose Altuve,Houston Astros
2016 Bowman,40,Clayton Kershaw,Los Angeles Dodgers
2016 Bowman,41,Lorenzo Cain,Kansas City Royals
2016 Bowman,43,Eric Hosmer,Kansas City Royals
2016 Bowman,45,Zack Greinke,Arizona Diamondbacks
2016 Bowman,47,Yasiel Puig,Los Angeles Dodgers
2016 Bowman,48,Giancarlo Stanton,Miami Marlins
2016 Bowman,49,Jose Fernandez,Miami Marlins
2016 Bowman,50,Ichiro,Miami Marlins
2016 Bowman,51,Ryan Braun,Milwaukee Brewers
2016 Bowman,52,Byron Buxton,Minnesota Twins
2016 Bowman,53,Brian Dozier,Minnesota Twins
2016 Bowman,55,Yoenis Cespedes,New York Mets
2016 Bowman,56,Matt Harvey,New York Mets
2016 Bowman,57,Jacob deGrom,New York Mets
2016 Bowman,58,Noah Syndergaard,New York Mets
2016 Bowman,59,Dellin Betances,New York Yankees
2016 Bowman,60,Masahiro Tanaka,New York Yankees
2016 Bowman,61,Alex Rodriguez,New York Yankees
2016 Bowman,62,Sonny Gray,Oakland Athletics
2016 Bowman,64,Stephen Vogt,Oakland Athletics
2016 Bowman,67,Odubel Herrera,Philadelphia Phillies
2016 Bowman,68,Andrew McCutchen,Pittsburgh Pirates
2016 Bowman,70,Buster Posey,San Francisco Giants
2016 Bowman,73,Tyson Ross,San Diego Padres
2016 Bowman,75,Jung Ho Kang,Pittsburgh Pirates
2016 Bowman,76,Madison Bumgarner,San Francisco Giants
2016 Bowman,78,Brandon Belt,San Francisco Giants
2016 Bowman,80,Felix Hernandez,Seattle Mariners
2016 Bowman,85,Chris Archer,Tampa Bay Rays
2016 Bowman,86,Kevin Kiermaier,Tampa Bay Rays
2016 Bowman,87,Prince Fielder,Texas Rangers
2016 Bowman,91,Jose Bautista,Toronto Blue Jays
2016 Bowman,92,David Price,Boston Red Sox
2016 Bowman,94,Wei-Yin Chen,Miami Marlins
2016 Bowman,96,Stephen Strasburg,Washington Nationals
2016 Bowman,97,Garrett Richards,Los Angeles Angels
2016 Bowman,98,David Peralta,Arizona Diamondbacks
2016 Bowman,99,Julio Teheran,Atlanta Braves
2016 Bowman,100,Bryce Harper,Washington Nationals
2016 Bowman,101,Adam Eaton,Chicago White Sox
2016 Bowman,103,Jay Bruce,Cincinnati Reds
2016 Bowman,104,Carlos Gonzalez,Colorado Rockies
2016 Bowman,110,Matt Kemp,San Diego Padres
2016 Bowman,112,Kyle Seager,Seattle Mariners
2016 Bowman,113,Marcus Stroman,Toronto Blue Jays
2016 Bowman,115,Trevor Rosenthal,St. Louis Cardinals
2016 Bowman,117,Michael Brantley,Cleveland Indians
2016 Bowman,118,Adam Wainwright,St. Louis Cardinals
2016 Bowman,119,Wade Davis,Kansas City Royals
2016 Bowman,122,Kyle Schwarber,Chicago Cubs
2016 Bowman,123,Stephen Piscotty,St. Louis Cardinals
2016 Bowman,124,Carl Edwards Jr.,Chicago Cubs
2016 Bowman,125,Aaron Nola,Philadelphia Phillies
2016 Bowman,126,Hector Olivera,Atlanta Braves
2016 Bowman,127,Rob Refsnyder,New York Yankees
2016 Bowman,128,Jose Peraza,Cincinnati Reds
2016 Bowman,129,Henry Owens,Boston Red Sox
2016 Bowman,130,Trea Turner,Washington Nationals
2016 Bowman,131,Michael Conforto,New York Mets
2016 Bowman,132,Greg Bird,New York Yankees
2016 Bowman,133,Richie Shaffer,Tampa Bay Rays
2016 Bowman,134,Jon Gray,Colorado Rockies
2016 Bowman,135,Luis Severino,New York Yankees
2016 Bowman,136,Miguel Almonte,Kansas City Royals
2016 Bowman,137,Brandon Drury,Arizona Diamondbacks
2016 Bowman,138,Zach Lee,Los Angeles Dodgers
2016 Bowman,139,Kyle Waldrop,Cincinnati Reds
2016 Bowman,140,Miguel Sano,Minnesota Twins
2016 Bowman,142,Frankie Montas,Los Angeles Dodgers
2016 Bowman,143,Gary Sanchez,New York Yankees
2016 Bowman,144,Ketel Marte,Seattle Mariners
2016 Bowman,145,Trayce Thompson,Los Angeles Dodgers
2016 Bowman,146,Jorge Lopez,Milwaukee Brewers
2016 Bowman,147,Max Kepler,Minnesota Twins
2016 Bowman,148,Tom Murphy,Colorado Rockies
2016 Bowman,149,Raul Mondesi,Kansas City Royals
2016 Bowman,150,Corey Seager,Los Angeles Dodgers
All-America Game Autographs,1,Alex Bregman,2011 AFLAC All-American
All-America Game Autographs,2,Duane Underwood,2011 AFLAC All-American
All-America Game Autographs,3,Nelson Rodriguez,2011 AFLAC All-American
All-America Game Autographs,4,Nick Williams,2011 AFLAC All-American
All-America Game Autographs,5,Rio Ruiz,2011 AFLAC All-American
Base,1,Mike Trout,Los Angeles Angels
Base,2,David Ortiz,Boston Red Sox
Base,3,Albert Pujols,Los Angeles Angels
Base,4,Jacob deGrom,New York Mets
Base,5,Maikel Franco,Philadelphia Phillies
Base,6,Josh Reddick,Oakland Athletics
Base,7,Byung-Ho Park,Minnesota Twins
Base,8,Manny Machado,Baltimore Orioles
Base,9,Jose Fernandez,Miami Marlins
Base,10,Nomar Mazara,Texas Rangers
Base,11,Freddie Freeman,Atlanta Braves
Base,12,Hunter Pence,San Francisco Giants
Base,13,Wade Davis,Kansas City Royals
Base,14,Jameson Taillon,Pittsburgh Pirates
Base,15,Seung-Hwan Oh,St. Louis Cardinals
