Card Set,Number,Player,Team
Base,US62,Jake Arrieta,Chicago Cubs
Base,US114,Trevor Story,Colorado Rockies
Base,US126,Bartolo Colon,New York Mets
Base,US169,Max Scherzer,Washington Nationals
Base,US260,Ichiro,Miami Marlins
Base,US1,Manny Machado,Baltimore Orioles
Base,US4,Jake Arrieta,Chicago Cubs
Base,US15,Wilson Ramos,Washington Nationals
Base,US19,Max Scherzer,Washington Nationals
Base,US23,Ian Desmond,Texas Rangers
Base,US31,Eduardo Nunez,Minnesota Twins
Base,US33,Aledmys Diaz,St. Louis Cardinals
Base,US38,Cole Hamels,Texas Rangers
Base,US48,Kelvin Herrera,Kansas City Royals
Base,US50,Ben Zobrist,Chicago Cubs
Base,US52,Wil Myers,San Diego Padres
Base,US54,Adam Duvall,Cincinnati Reds
Base,US56,Corey Kluber,Cleveland Indians
Base,US70,Brandon Belt,San Francisco Giants
Base,US79,Josh Donaldson,Toronto Blue Jays
Base,US84,Marcell Ozuna,Miami Marlins
Base,US86,Stephen Vogt,Oakland Athletics
Base,US93,Addison Russell,Chicago Cubs
Base,US101,Brad Brach,Baltimore Orioles
Base,US113,Steven Wright,Boston Red Sox
Base,US115,Xander Bogaerts,Boston Red Sox
Base,US125,Daniel Murphy,Washington Nationals
Base,US133,Odubel Herrera,Philadelphia Phillies
Base,US141,Buster Posey,San Francisco Giants
Base,US159,Edwin Encarnacion,Toronto Blue Jays
Base,US160,Jon Lester,Chicago Cubs
Base,US161,Bartolo Colon,New York Mets
Base,US163,Matt Wieters,Baltimore Orioles
Base,US166,Starling Marte,Pittsburgh Pirates
Base,US167,Corey Seager,Los Angeles Dodgers
Base,US172,Kenley Jansen,Los Angeles Dodgers
Base,US173,Fernando Rodney,Miami Marlins
Base,US175,Mike Trout,Los Angeles Angels
Base,US181,Andrew Miller,New York Yankees
Base,US191,Mark Trumbo,Baltimore Orioles
Base,US192,Jackie Bradley Jr.,Boston Red Sox
Base,US194,Eric Hosmer,Kansas City Royals
Base,US198,Carlos Gonzalez,Colorado Rockies
Base,US200,Alex Colome,Tampa Bay Rays
Base,US201,Mookie Betts,Boston Red Sox
Base,US206,Salvador Perez,Kansas City Royals
Base,US222,Zach Britton,Baltimore Orioles
Base,US223,Jose Fernandez,Miami Marlins
Base,US227,Aaron Sanchez,Toronto Blue Jays
Base,US232,Clayton Kershaw,Los Angeles Dodgers
Base,US233,Chris Sale,Chicago White Sox
Base,US234,Carlos Beltran,New York Yankees
Base,US236,Drew Pomeranz,San Diego Padres
Base,US241,Jose Quintana,Chicago White Sox
Base,US246,Jay Bruce,Cincinnati Reds
Base,US250,Jonathan Lucroy,Milwaukee Brewers
Base,US252,Johnny Cueto,San Francisco Giants
Base,US253,A.J. Ramos,Miami Marlins
Base,US254,David Ortiz,Boston Red Sox
Base,US256,Nolan Arenado,Colorado Rockies
Base,US262,Robinson Cano,Seattle Mariners
Base,US267,Michael Saunders,Toronto Blue Jays
Base,US273,Paul Goldschmidt,Arizona Diamondbacks
Base,US275,Francisco Lindor,Cleveland Indians
Base,US278,Mark Melancon,Pittsburgh Pirates
Base,US281,Anthony Rizzo,Chicago Cubs
Base,US282,Will Harris,Houston Astros
Base,US288,Jose Altuve,Houston Astros
Base,US290,Miguel Cabrera,Detroit Tigers
Base,US291,Dellin Betances,New York Yankees
Base,US294,Kris Bryant,Chicago Cubs
Base,US296,Jeurys Familia,New York Mets
Base,US297,Bryce Harper,Washington Nationals
Base,US299,Julio Teheran,Atlanta Braves
Base,US68,Adam Duvall,Cincinnati Reds
Base,US118,Mark Trumbo,Baltimore Orioles
Base,US144,Giancarlo Stanton,Miami Marlins
Base,US164,Todd Frazier,Chicago White Sox
Base,US205,Corey Seager,Los Angeles Dodgers
Base,US218,Carlos Gonzalez,Colorado Rockies
Base,US268,Wil Myers,San Diego Padres
Base,US280,Robinson Cano,Seattle Mariners
3000s Hit Club,3000H-1,Carl Yastrzemski,Boston Red Sox
3000s Hit Club,3000H-2,Ty Cobb,Detroit Tigers
3000s Hit Club,3000H-3,Hank Aaron,Atlanta Braves
3000s Hit Club,3000H-4,Stan Musial,St. Louis Cardinals
3000s Hit Club,3000H-5,Honus Wagner,Pittsburgh Pirates
3000s Hit Club,3000H-6,Paul Molitor,Minnesota Twins
3000s Hit Club,3000H-7,Willie Mays,San Francisco Giants
3000s Hit Club,3000H-8,Eddie Murray,Cleveland Indians
3000s Hit Club,3000H-9,Cal Ripken Jr.,Baltimore Orioles
3000s Hit Club,3000H-10,George Brett,Kansas City Royals
3000s Hit Club,3000H-11,Robin Yount,Milwaukee Brewers
3000s Hit Club,3000H-12,Tony Gwynn,San Diego Padres
3000s Hit Club,3000H-13,Ichiro,Miami Marlins
3000s Hit Club,3000H-14,Craig Biggio,Houston Astros
3000s Hit Club,3000H-15,Rickey Henderson,San Diego Padres
3000s Hit Club,3000H-16,Rod Carew,California Angels
3000s Hit Club,3000H-17,Lou Brock,St. Louis Cardinals
3000s Hit Club,3000H-18,Wade Boggs,Tampa Bay Devil Rays
3000s Hit Club,3000H-19,Roberto Clemente,Pittsburgh Pirates
3000s Hit Club,3000H-20,Al Kaline,Detroit Tigers
3000 Hits Club Autographs,3000A-AK,Al Kaline,Detroit Tigers
3000 Hits Club Autographs,3000A-CB,Craig Biggio,Houston Astros
3000 Hits Club Autographs,3000A-CR,Cal Ripken Jr.,Baltimore Orioles
3000 Hits Club Autographs,3000A-CY,Carl Yastrzemski,Boston Red Sox
3000 Hits Club Autographs,3000A-I,Ichiro,Miami Marlins
3000 Hits Club Autographs,3000A-PM,Paul Molitor,Minnesota Twins
3000 Hits Club Autographs,3000A-RC,Rod Carew,California Angels
3000 Hits Club Autographs,3000A-RH,Rickey Henderson,San Diego Padres
3000 Hits Club Autographs,3000A-WB,Wade Boggs,Tampa Bay Devil Rays
3000 Hits Club Medallions,3000M-1,Ty Cobb,Detroit Tigers
3000 Hits Club Medallions,3000M-2,Hank Aaron,Atlanta Braves
3000 Hits Club Medallions,3000M-3,Stan Musial,St. Louis Cardinals
3000 Hits Club Medallions,3000M-4,Honus Wagner,Pittsburgh Pirates
3000 Hits Club Medallions,3000M-5,Carl Yastrzemski,Boston Red Sox
3000 Hits Club Medallions,3000M-6,Paul Molitor,Minnesota Twins
3000 Hits Club Medallions,3000M-7,Willie Mays,San Francisco Giants
3000 Hits Club Medallions,3000M-8,Eddie Murray,Cleveland Indians
