BASE,,
BASE CARDS,,
124,Yovani Gallardo,Milwaukee BrewersTM
125,Jon Jay,St. Louis Cardinals®
126,Chris Tillman,Baltimore Orioles®
127,Andrew Chafin,Arizona Diamondbacks®
,Jake Lamb,Arizona Diamondbacks®
128,Juan Perez,San Francisco Giants®
129,Alex Avila,Detroit Tigers®
130,Evan Gattis,Atlanta BravesTM
131,Angels®,
132,Travis Ishikawa,San Francisco Giants®
133,Mike Minor,Atlanta BravesTM
134,Yan Gomes,Cleveland Indians®
135,Conor Gillaspie,Chicago White Sox®
136,Jose Iglesias,Detroit Tigers®
137,Domonic Brown,Philadelphia Phillies®
138,Tony Gwynn Jr.,Philadelphia Phillies®
139,Jorge Soler,Chicago Cubs®
,Javier Baez,Chicago Cubs®
140,Aroldis Chapman,Cincinnati Reds®

141,Dillon Gee,New York Mets®
142,Jake Petricka,Chicago White Sox®
143,Joe Nathan,Detroit Tigers®
144,Aaron Hill,Arizona Diamondbacks®
145,Ben Zobrist,Tampa Bay RaysTM
146,Guilder Rodriguez,Texas Rangers®
,Lisalverto Bonilla,Texas Rangers®
147,Lloyd McClendon,Seattle MarinersTM
148,Cody Allen,Cleveland Indians®
149,John Jaso,Oakland AthleticsTM
150,Michael Brantley,Cleveland Indians®
151,Andre Ethier,Los Angeles Dodgers®
152,Joe Kelly,Boston Red Sox®
153,Tyler Clippard,Washington Nationals®
154,Chris Johnson,Atlanta BravesTM
155,Michael Cuddyer,New York Mets®
156,Starlin Castro,Chicago Cubs®
,Javier Baez,Chicago Cubs®
157,Francisco Liriano,Pittsburgh Pirates®
158,Trevor Cahill,Arizona Diamondbacks®
159,Joaquin Benoit,San Diego PadresTM
160,Michael Pineda,New York Yankees®
161,Adeiny Hechavarria,Miami Marlins®
162,Brad Miller,Seattle MarinersTM
163,Dexter Fowler,Houston Astros®
164,Jason Rogers,Milwaukee BrewersTM
,Matt Szczur,Chicago Cubs®
165,Kennys Vargas,Minnesota Twins®
166,Jhonny Peralta,St. Louis Cardinals®
167,Bud Norris,Baltimore Orioles®
168,Jarred Cosart,Miami Marlins®
169,Brandon McCarthy,Los Angeles Dodgers®
170,Chase Utley,Philadelphia Phillies®
171,A.J. Ellis,Los Angeles Dodgers®
172,New York Mets®,
173,Trevor Plouffe,Minnesota Twins®
174,Neftali Feliz,Texas Rangers®
175,Josh Donaldson,Toronto Blue Jays®
176,Adam Eaton,Chicago White Sox®
177,Drew Hutchison,Toronto Blue Jays®
178,Jake Odorizzi,Tampa Bay RaysTM
179,Samuel Tuivailala,St. Louis Cardinals®
,Xavier Scruggs,St. Louis Cardinals®
180,Jay Bruce,Cincinnati Reds®
181,Gio Gonzalez,Washington Nationals®
182,Chris Owings,Arizona Diamondbacks®
183,Terry Francona,Cleveland Indians®
184,Yasmani Grandal,San Diego PadresTM
185,Bartolo Colon,New York Mets®
186,Trevor Bauer,Cleveland Indians®
187,Brad Ausmus,Detroit Tigers®
188,Brandon Crawford,San Francisco Giants®

189,Casey McGehee,Miami Marlins®
190,Oswaldo Arcia,Minnesota Twins®
191,Carlos Carrasco,Cleveland Indians®
192,Kole Calhoun,Angels®
193,Chris Iannetta,Angels®
194,Washington Nationals®,
195,Edinson Volquez,Pittsburgh Pirates®
196,Matt Moore,Tampa Bay RaysTM
197,Mark Trumbo,Arizona Diamondbacks®
198,Derek Norris,Oakland AthleticsTM
199,Starling Marte,Pittsburgh Pirates®
,Josh Harrison,Pittsburgh Pirates®
,Andrew McCutchen,Pittsburgh Pirates®
200,Freddie Freeman,Atlanta BravesTM
201,Jason Heyward,St. Louis Cardinals®
202,Martin Perez,Texas Rangers®
203,Jed Lowrie,Oakland AthleticsTM
204,Chicago Cubs®,
205,Jorge De La Rosa,Colorado RockiesTM
206,Jarrod Dyson,Kansas City Royals®
207,Chase Headley,New York Yankees®
208,Devin Mesoraco,Cincinnati Reds®
209,Buck Farmer,Detroit Tigers®
,Kyle Lobstein,Detroit Tigers®
210,Neil Walker,Pittsburgh Pirates®
211,C.J. Cron,Angels®
212,Matt Carpenter,St. Louis Cardinals®
213,Joakim Soria,Detroit Tigers®
214,Allen Craig,Boston Red Sox®
215,Justin Morneau,Colorado RockiesTM
,Andrew McCutchen,Pittsburgh Pirates®
,Josh Harrison,Pittsburgh Pirates®
216,Michael Brantley,Cleveland Indians®
,Jose Altuve,Houston Astros®
,Victor Martinez,Detroit Tigers®
217,Lucas Duda,New York Mets®
,Anthony Rizzo,Chicago Cubs®
,Giancarlo Stanton,Miami Marlins®
218,Chris Carter,Houston Astros®
,Jose Abreu,Chicago White Sox®
,Nelson Cruz,Baltimore Orioles®
219,Justin Upton,Atlanta BravesTM
,Giancarlo Stanton,Miami Marlins®
,Adrian Gonzalez,Los Angeles Dodgers®
220,Nelson Cruz,Baltimore Orioles®
,Miguel Cabrera,Detroit Tigers®
,Mike Trout,Angels®
221,Johnny Cueto,Cincinnati Reds®
,Adam Wainwright,St. Louis Cardinals®
,Clayton Kershaw,Los Angeles Dodgers®
222,Corey Kluber,Cleveland Indians®
,Chris Sale,Chicago White Sox®

Felix Hernandez,Seattle MarinersTM
223 Adam Wainwright,St. Louis Cardinals®
Clayton Kershaw,Los Angeles Dodgers®
Johnny Cueto,Cincinnati Reds®
224 Max Scherzer,Detroit Tigers®
Jered Weaver,Angels®
Corey Kluber,Cleveland Indians®
225 Clayton Kershaw,Los Angeles Dodgers®
Johnny Cueto,Cincinnati Reds®
Stephen Strasburg,Washington Nationals®
226 Felix Hernandez,Seattle MarinersTM
Max Scherzer,Detroit Tigers®
Corey Kluber,Cleveland Indians®
David Price,Tampa Bay RaysTM/Detroit Tigers®
227 Austin Jackson,Seattle MarinersTM
228 Yonder Alonso,San Diego PadresTM
229 Buck Showalter,Baltimore Orioles®
230 Ben Revere,Philadelphia Phillies®
231 Brock Holt,Boston Red Sox®
232 Martin Prado,New York Yankees®
233 Spencer Patton,Texas Rangers®
Eric Jokisch,Chicago Cubs®
234 Jose Pirela,New York Yankees®
Bryan Mitchell,New York Yankees®
235 Kevin Gausman,Baltimore Orioles®
236 Ervin Santana,Atlanta BravesTM
237 Dustin Ackley,Seattle MarinersTM
238 Los Angeles Dodgers®,
239 LaTroy Hawkins,Colorado RockiesTM
240 Kurt Suzuki,Minnesota Twins®
241 Ivan Nova,New York Yankees®
242 Kendrys Morales,Kansas City Royals®
243 Pablo Sandoval,Boston Red Sox®
244 Nick Tropeano,Angels®
Mike Foltynewicz,Houston Astros®
245 Matt Adams,St. Louis Cardinals®
246 Kyle Gibson,Minnesota Twins®
247 A.J. Pollock,Arizona Diamondbacks®
248 Wade Miley,Boston Red Sox®
249 Mike Scioscia,Angels®
250 Johnny Cueto,Cincinnati Reds®
251 David Peralta,Arizona Diamondbacks®
252 Chase Anderson,Arizona Diamondbacks®
253 Arismendy Alcantara,Chicago Cubs®
254 Maikel Franco,Philadelphia Phillies®
Miguel Alfredo Gonzalez,Philadelphia Phillies®
255 Drew Stubbs,Colorado RockiesTM
256 Starling Marte,Pittsburgh Pirates®
257 Danny Salazar,Cleveland Indians®
258 Chris Archer,Tampa Bay RaysTM
259 Boston Red Sox®,
260 Madison Bumgarner,San Francisco Giants®

261,Mark Melancon,Pittsburgh Pirates®
262,Huston Street,Angels®
263,Randal Grichuk,St. Louis Cardinals®
264,Trevor May,Minnesota Twins®
,A.J. Achter,Minnesota Twins®
265,Marlon Byrd,Philadelphia Phillies®
266,Lonnie Chisenhall,Cleveland Indians®
267,Santiago Casilla,San Francisco Giants®
268,Nick Castellanos,Detroit Tigers®
269,Bryan Price,Cincinnati Reds®
270,Hyun-Jin Ryu,Los Angeles Dodgers®
271,J.J. Hardy,Baltimore Orioles®
272,Wei-Yin Chen,Baltimore Orioles®
273,Clayton Kershaw,Los Angeles Dodgers®
,Adam Wainwright,St. Louis Cardinals®
274,Hector Rondon,Chicago Cubs®
275,Yadier Molina,St. Louis Cardinals®
276,Addison Reed,Arizona Diamondbacks®
277,Josh Collmenter,Arizona Diamondbacks®
278,Mike Morse,Miami Marlins®
279,John Gibbons,Toronto Blue Jays®
280,Howie Kendrick,Los Angeles Dodgers®
281,Mike Napoli,Boston Red Sox®
282,Tanner Roark,Washington Nationals®
283,Daniel Hudson,Arizona Diamondbacks®
284,Nathan Eovaldi,Miami Marlins®
285,Omar Infante,Kansas City Royals®
286,Colby Lewis,Texas Rangers®
287,R.A. Dickey,Toronto Blue Jays®
288,Melvin Mercedes,Detroit Tigers®
,Yimi Garcia,Los Angeles Dodgers®
289,Will Middlebrooks,Boston Red Sox®
290,Luis Valbuena,Chicago Cubs®
291,John Lackey,St. Louis Cardinals®
292,Taijuan Walker,Seattle MarinersTM
293,Rick Porcello,Boston Red Sox®
294,J.A. Happ,Seattle MarinersTM
295,Jayson Werth,Washington Nationals®
296,Joe Girardi,New York Yankees®
297,Colby Rasmus,Toronto Blue Jays®
298,Carlos Martinez,St. Louis Cardinals®
299,Justin Morneau,Colorado RockiesTM
300,Andrew McCutchen,Pittsburgh Pirates®
301,Erick Aybar,Angels®
302,Miguel Gonzalez,Baltimore Orioles®
303,Cleveland Indians®,
304,Yusmeiro Petit,San Francisco Giants®
305,Chris Young,Seattle MarinersTM
306,Jackson Williams,Angels®
,Rafael Ynoa,Colorado RockiesTM
307,Alfredo Simon,Detroit Tigers®
308,Salvador Perez,Kansas City Royals®

309 Dioner Navarro,Toronto Blue Jays®
310 Adam Jones,Baltimore Orioles®
311 Daniel Corcino,Cincinnati Reds®
Yorman Rodriguez,Cincinnati Reds®
312 Jon Singleton,Houston Astros®
313 Gregor Blanco,San Francisco Giants®
314 Alex Rios,Texas Rangers®
315 Koji Uehara,Boston Red Sox®
316 Hector Santiago,Angels®
317 Tommy La Stella,Chicago Cubs®
318 Clint Hurdle,Pittsburgh Pirates®
319 Mike Zunino,Seattle MarinersTM
320 Michael Wacha,St. Louis Cardinals®
321 Aramis Ramirez,Milwaukee BrewersTM
322 Tsuyoshi Wada,Chicago Cubs®
323 Andrew Cashner,San Diego PadresTM
324 Alexei Ramirez,Chicago White Sox®
325 Michael Bourn,Cleveland Indians®
326 Atlanta BravesTM,
327 Elvis Andrus,Texas Rangers®
328 Denard Span,Washington Nationals®
329 Michael Saunders,Toronto Blue Jays®
330 Carl Crawford,Los Angeles Dodgers®
331 Henderson Alvarez,Miami Marlins®
332 Brian McCann,New York Yankees®
333 Dalton Pompey,Toronto Blue Jays®
Daniel Norris,Toronto Blue Jays®
334 Alex Wood,Atlanta BravesTM
335 Charlie Blackmon,Colorado RockiesTM
336 Fernando Rodney,Seattle MarinersTM
337 Billy Butler,Oakland AthleticsTM
338 Pat Neshek,Houston Astros®
339 Alcides Escobar,Kansas City Royals®
340 Garrett Richards,Angels®
341 Terry Collins,New York Mets®
342 Tyler Matzek,Colorado RockiesTM
343 Cliff Lee,Philadelphia Phillies®
344 Jedd Gyorko,San Diego PadresTM
345 Scott Van Slyke,Los Angeles Dodgers®
346 Jurickson Profar,Texas Rangers®
347 Danny Santana,Minnesota Twins®
348 Baltimore Orioles®,
349 Dallas Keuchel,Houston Astros®
350 Masahiro Tanaka,New York Yankees®
351 Aaron Sanchez,Toronto Blue Jays®
352 Seth Smith,San Diego PadresTM
353 CC Sabathia,New York Yankees®
354 James Paxton,Seattle MarinersTM
355 David Robertson,Chicago White Sox®
356 Anthony Ranaudo,Boston Red Sox®
Rusney Castillo,Boston Red Sox®
357 Khris Davis,Milwaukee BrewersTM

358,Shane Greene,Detroit Tigers®
359,Steve Cishek,Miami Marlins®
360,Daniel Murphy,New York Mets®
361,Zack Wheeler,New York Mets®
362,Carlos Beltran,New York Yankees®
363,Bud Black,San Diego PadresTM
364,Ryan Howard,Philadelphia Phillies®
365,Brett Gardner,New York Yankees®
366,Alex Cobb,Tampa Bay RaysTM
367,Kyle Hendricks,Chicago Cubs®
368,Chris Coghlan,Chicago Cubs®
369,Brandon Belt,San Francisco Giants®
370,Zack Cozart,Cincinnati Reds®
371,Homer Bailey,Cincinnati Reds®
372,Juan Lagares,New York Mets®
373,Gary Brown,San Francisco Giants®
