Card Set,Number,Player,Team
Base,635,Drew Pomeranz,Oakland AthleticsTM
Base,636,Eric Sogard,Oakland AthleticsTM
Base,637,Brandon Morrow,San Diego PadresTM
Base,638,Eddie Butler,Colorado RockiesTM
Base,639,Corey Hart,Pittsburgh Pirates®
Base,640,Steven Souza Jr.,Tampa Bay RaysTM
Base,641,DJ LeMahieu,Colorado RockiesTM
Base,642,Mark Canha,Oakland AthleticsTM
Base,643,Alex Torres,New York Mets®
Base,644,Rene Rivera,Tampa Bay RaysTM
Base,645,Ubaldo Jimenez,Baltimore Orioles®
Base,646,A.J. Ramos,Miami Marlins®
Base,647,Joey Gallo,Texas Rangers®
Base,648,Leonel Campos,San Diego PadresTM
Base,649,Nick Hundley,Colorado RockiesTM
Base,650,Anthony DeSclafani,Cincinnati Reds®
Base,651,Kyle Blanks,Texas Rangers®
Base,652,Eric Young Jr.,Atlanta BravesTM
Base,653,Nate Karns,Tampa Bay RaysTM
Base,654,Christian Bethancourt,Atlanta BravesTM
Base,655,Mark Reynolds,St. Louis Cardinals®
Base,656,Mike Pelfrey,Minnesota Twins®
Base,657,Stephen Drew,New York Yankees®
Base,658,Nick Martinez,Texas Rangers®
Base,659,J.T. Realmuto,Miami Marlins®
Base,660,Michael Lorenzen,Cincinnati Reds®
Base,661,Roberto Hernandez,Houston Astros®
Base,662,Marcus Semien,Oakland AthleticsTM
Base,663,Robinson Chirinos,Texas Rangers®
Base,664,Tyler Flowers,Chicago White Sox®
Base,665,Justin Smoak,Toronto Blue Jays®
Base,666,Odubel Herrera,Philadelphia Phillies®
Base,667,Gregorio Petit,New York Yankees®
Base,668,Evan Scribner,Oakland AthleticsTM
Base,669,Luke Gregerson,Houston Astros®
Base,670,Austin Adams,Cleveland Indians®
Base,671,Adam Warren,New York Yankees®
Base,672,Tuffy Gosewisch,Arizona Diamondbacks®
Base,673,Collin Cowgill,Angels®
Base,674,Eddie Rosario,Minnesota Twins®
Base,675,Jace Peterson,Atlanta BravesTM
Base,676,Williams Perez,Atlanta BravesTM
Base,677,Ervin Santana,Minnesota Twins®
Base,678,Tim Cooney,St. Louis Cardinals®
Base,679,Luis Valbuena,Houston Astros®
