Card Set,Number,Player,Team
Base Stat Back Variations,US-42,Madison Bumgarner,San Francisco Giants
Base Stat Back Variations,US-58,Josh Donaldson,Toronto Blue Jays
Base Stat Back Variations,US-61,Dallas Keuchel,Houston Astros
Base Stat Back Variations,US-64,David Price,Detroit Tigers
Base Stat Back Variations,US-68,Albert Pujols,Los Angeles Angels
Base Stat Back Variations,US-72,Brett Gardner,New York Yankees
Base Stat Back Variations,US-76,Lorenzo Cain,Kansas City Royals
Base Stat Back Variations,US-87,Zack Greinke,Los Angeles Dodgers
Base Stat Back Variations,US-90,Jacob DeGrom,New York Mets
Base Stat Back Variations,US-93,Sonny Gray,Oakland Athletics
Base Stat Back Variations,US-100,Andrew McCutchen,Pittsburgh Pirates
Base Stat Back Variations,US-115,Stephen Vogt,Oakland Athletics
Base Stat Back Variations,US-123,Felix Hernandez,Seattle Mariners
Base Stat Back Variations,US-139,Mike Moustakas,Kansas City Royals
Base Stat Back Variations,US-141,Glen Perkins,Minnesota Twins
Base Stat Back Variations,US-147,Chris Archer,Tampa Bay Rays
Base Stat Back Variations,US-154,Paul Goldschmidt,Arizona Diamondbacks
Base Stat Back Variations,US-158,Jason Kipnis,Cleveland Indians
Base Stat Back Variations,US-171,Jhonny Peralta,St. Louis Cardinals
Base Stat Back Variations,US-172,Adrian Gonzalez,Los Angeles Dodgers
Base Stat Back Variations,US-173,Salvador Perez,Kansas City Royals
Base Stat Back Variations,US-186,A.J. Pollock,Arizona Diamondbacks
Base Stat Back Variations,US-199,Troy Tulowitzki,Colorado Rockies
Base Stat Back Variations,US-201,Jose Altuve,Houston Astros
Base Stat Back Variations,US-214,Yadier Molina,St. Louis Cardinals
Base Stat Back Variations,US-240,Jonathan Papelbon,Philadelphia Phillies
Base Stat Back Variations,US-247,Ryan Braun,Milwaukee Brewers
Base Stat Back Variations,US-249,Anthony Rizzo,Chicago Cubs
Base Stat Back Variations,US-252,Francisco Rodriguez,Milwaukee Brewers
Base Stat Back Variations,US-273,Justin Upton,San Diego Padres
Base Stat Back Variations,US-295,Russell Martin,Toronto Blue Jays
Base Stat Back Variations,US-300,Max Scherzer,Washington Nationals
Base Stat Back Variations,US-302,Chris Sale,Chicago White Sox
Base Stat Back Variations,US-310,Clayton Kershaw,Los Angeles Dodgers
Base Stat Back Variations,US-336,Mark Teixeira,New York Yankees
Base Stat Back Variations,US-342,Todd Frazier,Cincinnati Reds
Base Stat Back Variations,US-343,A.J. Burnett,Pittsburgh Pirates
Base Stat Back Variations,US-346,Brandon Crawford,San Francisco Giants
Base Stat Back Variations,US-349,DJ LeMahieu,Colorado Rockies
Base Stat Back Variations,US-353,Michael Wacha,St. Louis Cardinals
Base Stat Back Variations,US-355,Gerrit Cole,Pittsburgh Pirates
Base Stat Back Variations,US-358,Nolan Arenado,Colorado Rockies
Base Stat Back Variations,US-364,Mike Trout,Los Angeles Angels
Base Stat Back Variations,US-370,Prince Fielder,Texas Rangers
Base Stat Back Variations,US-380,Buster Posey,San Francisco Giants
Base Stat Back Variations,US-383,Nelson Cruz,Seattle Mariners
Base Stat Back Variations,US-386,Alcides Escobar,Kansas City Royals
Base Stat Back Variations,US-397,Bryce Harper,Washington Nationals
Base Sparkle Variations,US-16,John Axford,Colorado Rockies
Base Sparkle Variations,US-23,Kevin Plawecki,New York Mets
Base Sparkle Variations,US-25,Byron Buxton,Minnesota Twins
Base Sparkle Variations,US-31,Gordon Beckham,Chicago White Sox
Base Sparkle Variations,US-32,Blake Swihart,Boston Red Sox
Base Sparkle Variations,US-35,Justin Bour,Miami Marlins
Base Sparkle Variations,US-46,David Price,Toronto Blue Jays
Base Sparkle Variations,US-49,Mark Canha,Oakland Athletics
Base Sparkle Variations,US-50,Alex Guerrero,Los Angeles Dodgers
Base Sparkle Variations,US-51,Yasmani Grandal,Los Angeles Dodgers
Base Sparkle Variations,US-82,Francisco Lindor,Cleveland Indians
Base Sparkle Variations,US-92,Justin Upton,San Diego Padres
Base Sparkle Variations,US-99,Daniel Fields,Detroit Tigers
Base Sparkle Variations,US-122,Marlon Byrd,Cincinnati Reds
Base Sparkle Variations,US-124,Preston Tucker,Houston Astros
Base Sparkle Variations,US-130,Jonathan Villar,Houston Astros
Base Sparkle Variations,US-135,Jason Heyward,St. Louis Cardinals
Base Sparkle Variations,US-148,Taylor Featherston,Los Angeles Angels
Base Sparkle Variations,US-155,Yoenis Cespedes,New York Mets
Base Sparkle Variations,US-157,Noah Syndergaard,New York Mets
Base Sparkle Variations,US-160,Slade Heathcott,New York Yankees
Base Sparkle Variations,US-161,Jeff Samardzija,Chicago White Sox
Base Sparkle Variations,US-167,Derek Norris,San Diego Padres
Base Sparkle Variations,US-170,Mike Foltynewicz,Atlanta Braves
Base Sparkle Variations,US-176,Austin Hedges,San Diego Padres
Base Sparkle Variations,US-190,Shelby Miller,Atlanta Braves
