Card Set,Number,Player,Team
Base,1,Buster Posey,San Francisco Giants
Base,2,Melky Cabrera,Chicago White Sox
Base,3,Ned Yost,Kansas City Royals
Base,4,Danny Duffy,Kansas City Royals
Base,5,Ryan Vogelsong,San Francisco Giants
Base,6,Zach Britton,Baltimore Orioles
Base,7,Ian Kennedy,San Diego Padres
Base,8,Asdrubal Cabrera,Washington Nationals
Base,9,Jenrry Mejia,New York Mets
Base,10,Julio Teheran,Atlanta Braves
Base,11,Michael Taylor,Washington Nationals
Base,11,Joc Pederson,Los Angeles Dodgers
Base,12,Jean Segura,Milwaukee Brewers
Base,13,Stephen Vogt,Oakland Athletics
Base,14,Kyle Lohse,Milwaukee Brewers
Base,15,Roenis Elias,Seattle Mariners
Base,16,Anibal Sanchez,Detroit Tigers
Base,17,Jason Hammel,Chicago Cubs
Base,18,David Freese,Los Angeles Angels
Base,19,San Francisco Giants,San Francisco Giants
Base,20,J.D. Martinez,Detroit Tigers
Base,21,Mark Teixeira,New York Yankees
Base,22,Kolten Wong,St. Louis Cardinals
Base,23,Brad Ziegler,Arizona Diamondbacks
Base,24,Wil Myers,Tampa Bay Rays
Base,25,Jose Abreu,Chicago White Sox
Base,26,Ryan Zimmerman,Washington Nationals
Base,27,Erik Cordier,San Francisco Giants
Base,27,Frank Garces,San Diego Padres
Base,28,Jason Castro,Houston Astros
Base,29,Avisail Garcia,Chicago White Sox
Base,30,Brandon Phillips,Cincinnati Reds
Base,31,Andrew Susac,San Francisco Giants
Base,32,Andrelton Simmons,Atlanta Braves
Base,33,Dan Haren,Miami Marlins
Base,34,Bob Melvin,Oakland Athletics
Base,35,Mike Leake,Cincinnati Reds
Base,36,Sean Doolittle,Oakland Athletics
Base,37,John Farrell,Boston Red Sox
Base,38,B.J. Upton,Atlanta Braves
Base,39,Marcus Stroman,Toronto Blue Jays
Base,40,Phil Hughes,Minnesota Twins
Base,41,Wilmer Flores,New York Mets
Base,42,Jonathon Niese,New York Mets
Base,43,Juan Uribe,Los Angeles Dodgers
Base,44,Edwin Escobar,Boston Red Sox
Base,44,Matt Barnes,Boston Red Sox
Base,45,Mookie Betts,Boston Red Sox
Base,46,Jason Vargas,Kansas City Royals
Base,47,Jeff Locke,Pittsburgh Pirates
Base,48,Jeremy Guthrie,Kansas City Royals
Base,49,Cory Spangenberg,San Diego Padres
Base,49,Rymer Liriano,San Diego Padres
Base,50,Jacoby Ellsbury,New York Yankees
Base,51,Francisco Rodriguez,Milwaukee Brewers
Base,52,Mike Trout,Los Angeles Angels
Base,52,Miguel Cabrera,Detroit Tigers
Base,53,Hiroki Kuroda,New York Yankees
Base,54,Lorenzo Cain,Kansas City Royals
Base,55,Justin Turner,Los Angeles Dodgers
Base,56,Kris Medlen,Atlanta Braves
Base,57,Carlos Ruiz,Philadelphia Phillies
Base,58,Brandon Moss,Cleveland Indians
Base,59,Cincinnati Reds,Cincinnati Reds
Base,60,Matt Holliday,St. Louis Cardinals
Base,61,Russell Martin,Toronto Blue Jays
Base,62,Lance Lynn,St. Louis Cardinals
Base,63,Brett Lawrie,Oakland Athletics
Base,64,Kelvin Herrera,Kansas City Royals
Base,65,Logan Morrison,Seattle Mariners
Base,66,Patrick Corbin,Arizona Diamondbacks
Base,67,Erik Goeddel,New York Mets
Base,67,Dilson Herrera,New York Mets
Base,68,George Springer,Houston Astros
Base,69,Angel Pagan,San Francisco Giants
Base,70,Yoenis Cespedes,Detroit Tigers
Base,71,Mark Buehrle,Toronto Blue Jays
Base,72,Nolan Arenado,Colorado Rockies
Base,73,Collin McHugh,Houston Astros
Base,74,Jarrod Parker,Oakland Athletics
Base,75,Matt Kemp,Los Angeles Dodgers
Base,76,Mike Matheny,St. Louis Cardinals
Base,77,Casey Janssen,Toronto Blue Jays
Base,78,Joe Panik,San Francisco Giants
Base,79,Emilio Bonifacio,Atlanta Braves
Base,80,Cody Asche,Philadelphia Phillies
Base,81,Jake McGee,Tampa Bay Rays
Base,82,Scott Kazmir,Oakland Athletics
Base,83,Matt Shoemaker,Los Angeles Angels
Base,84,Bryce Brentz,Boston Red Sox
Base,84,Steven Moya,Detroit Tigers
Base,85,Derek Holland,Texas Rangers
Base,86,Norichika Aoki,Kansas City Royals
Base,87,Torii Hunter,Minnesota Twins
Base,88,Dan Butler,Boston Red Sox
Base,88,Carlos Rivero,Boston Red Sox
Base,89,Eduardo Escobar,Minnesota Twins
Base,90,Jonathan Schoop,Baltimore Orioles
Base,91,Nick Markakis,Atlanta Braves
Base,92,New York Yankees,New York Yankees
Base,93,Wilin Rosario,Colorado Rockies
Base,94,Ken Giles,Philadelphia Phillies
Base,95,Scooter Gennett,Milwaukee Brewers
Base,96,Tim Lincecum,San Francisco Giants
Base,97,Wade Davis,Kansas City Royals
Base,98,Clay Buchholz,Boston Red Sox
Base,99,Mike Trout,Los Angeles Angels
Base,99,Albert Pujols,Los Angeles Angels
Base,100,Clayton Kershaw,Los Angeles Dodgers
Base,101,Bruce Bochy,San Francisco Giants
Base,102,Tim Hudson,San Francisco Giants
Base,103,Drew Storen,Washington Nationals
Base,104,Miguel Montero,Chicago Cubs
Base,105,Marcell Ozuna,Miami Marlins
Base,106,Ender Inciarte,Arizona Diamondbacks
Base,107,James McCann,Detroit Tigers
Base,107,Kyle Ryan,Detroit Tigers
Base,108,James Loney,Tampa Bay Rays
Base,109,Didi Gregorius,New York Yankees
Base,110,Anthony Rizzo,Chicago Cubs
Base,111,Garin Cecchini,Boston Red Sox
Base,112,Jeremy Hellickson,Arizona Diamondbacks
Base,113,Jake Peavy,San Francisco Giants
Base,114,Josh Reddick,Oakland Athletics
Base,115,Steve Pearce,Baltimore Orioles
Base,116,Don Mattingly,Los Angeles Dodgers
Base,117,Matt Joyce,Tampa Bay Rays
Base,118,Jonathan Papelbon,Philadelphia Phillies
Base,119,Trevor Rosenthal,St. Louis Cardinals
Base,120,Brian Dozier,Minnesota Twins
Base,121,Kevin Kiermaier,Tampa Bay Rays
Base,122,John Danks,Chicago White Sox
Base,123,John Holdzkom,Pittsburgh Pirates
Base,123,R.J. Alvarez,San Diego Padres
Base,124,Yovani Gallardo,Milwaukee Brewers
Base,125,Jon Jay,St. Louis Cardinals
Base,126,Chris Tillman,Baltimore Orioles
Base,127,Andrew Chafin,Arizona Diamondbacks
Base,127,Jake Lamb,Arizona Diamondbacks
Base,128,Juan Perez,San Francisco Giants
Base,129,Alex Avila,Detroit Tigers
Base,130,Evan Gattis,Atlanta Braves
Base,131,Los Angeles Angels,Los Angeles Angels
Base,132,Travis Ishikawa,San Francisco Giants
Base,133,Mike Minor,Atlanta Braves
Base,134,Yan Gomes,Cleveland Indians
Base,135,Conor Gillaspie,Chicago White Sox
Base,136,Jose Iglesias,Detroit Tigers
Base,137,Domonic Brown,Philadelphia Phillies
Base,138,Tony Gwynn Jr.,Philadelphia Phillies
Base,139,Jorge Soler,Chicago Cubs
Base,139,Javier Baez,Chicago Cubs
Base,140,Aroldis Chapman,Cincinnati Reds
Base,141,Dillon Gee,New York Mets
Base,142,Jake Petricka,Chicago White Sox
Base,143,Joe Nathan,Detroit Tigers
Base,144,Aaron Hill,Arizona Diamondbacks
Base,145,Ben Zobrist,Tampa Bay Rays
Base,146,Guilder Rodriguez,Texas Rangers
Base,146,Lisalverto Bonilla,Texas Rangers
Base,147,Lloyd McClendon,Seattle Mariners
Base,148,Cody Allen,Cleveland Indians
Base,149,John Jaso,Oakland Athletics
Base,150,Michael Brantley,Cleveland Indians
Base,151,Andre Ethier,Los Angeles Dodgers
Base,152,Joe Kelly,Boston Red Sox
Base,153,Tyler Clippard,Washington Nationals
Base,154,Chris Johnson,Atlanta Braves
Base,155,Michael Cuddyer,New York Mets
Base,156,Starlin Castro,Chicago Cubs
Base,156,Javier Baez,Chicago Cubs
Base,157,Francisco Liriano,Pittsburgh Pirates
Base,158,Trevor Cahill,Arizona Diamondbacks
Base,159,Joaquin Benoit,San Diego Padres
Base,160,Michael Pineda,New York Yankees
Base,161,Adeiny Hechavarria,Miami Marlins
Base,162,Brad Miller,Seattle Mariners
Base,163,Dexter Fowler,Houston Astros
Base,164,Jason Rogers,Milwaukee Brewers
Base,164,Matt Szczur,Chicago Cubs
Base,165,Kennys Vargas,Minnesota Twins
Base,166,Jhonny Peralta,St. Louis Cardinals
Base,167,Bud Norris,Baltimore Orioles
Base,168,Jarred Cosart,Miami Marlins
Base,169,Brandon McCarthy,Los Angeles Dodgers
Base,170,Chase Utley,Philadelphia Phillies
Base,171,A.J. Ellis,Los Angeles Dodgers
Base,172,New York Mets,New York Mets
Base,173,Trevor Plouffe,Minnesota Twins
Base,174,Neftali Feliz,Texas Rangers
Base,175,Josh Donaldson,Toronto Blue Jays
Base,176,Adam Eaton,Chicago White Sox
Base,177,Drew Hutchison,Toronto Blue Jays
Base,178,Jake Odorizzi,Tampa Bay Rays
Base,179,Samuel Tuivailala,St. Louis Cardinals
Base,179,Xavier Scruggs,St. Louis Cardinals
Base,180,Jay Bruce,Cincinnati Reds
Base,181,Gio Gonzalez,Washington Nationals
Base,182,Chris Owings,Arizona Diamondbacks
Base,183,Terry Francona,Cleveland Indians
Base,184,Yasmani Grandal,San Diego Padres
Base,185,Bartolo Colon,New York Mets
Base,186,Trevor Bauer,Cleveland Indians
Base,187,Brad Ausmus,Detroit Tigers
Base,188,Brandon Crawford,San Francisco Giants
Base,189,Casey McGehee,Miami Marlins
Base,190,Oswaldo Arcia,Minnesota Twins
Base,191,Carlos Carrasco,Cleveland Indians
Base,192,Kole Calhoun,Los Angeles Angels
Base,193,Chris Iannetta,Los Angeles Angels
Base,194,Washington Nationals,Washington Nationals
Base,195,Edinson Volquez,Pittsburgh Pirates
Base,196,Matt Moore,Tampa Bay Rays
Base,197,Mark Trumbo,Arizona Diamondbacks
Base,198,Derek Norris,Oakland Athletics
Base,199,Starling Marte,Pittsburgh Pirates
