Card Set,Number,Player,Team
Bowman Black Autographs,BBC-AR,Ashe Russell,Kansas City Royals
Bowman Black Autographs,BBC-BB,Beau Burrows,Detroit Tigers
Bowman Black Autographs,BBC-BR,Brendan Rodgers,Colorado Rockies
Bowman Black Autographs,BBC-CF,Carson Fulmer,Chicago White Sox
Bowman Black Autographs,BBC-DS,Dansby Swanson,Arizona Diamondbacks
Bowman Black Autographs,BBC-DST,DJ Stewart,Baltimore Orioles
Bowman Black Autographs,BBC-GW,Garrett Whitley,Tampa Bay Rays
Bowman Black Autographs,BBC-KT,Kyle Tucker,Houston Astros
Bowman Black Autographs,BBC-MN,Mike Nikorak,Colorado Rockies
Bowman Black Autographs,BBC-PB,Phil Bickford,San Francisco Giants
Bowman Black Autographs,BBC-TC,Trent Clark,Milwaukee Brewers
Bowman Black Autographs,BBC-TW,Taylor Ward,Los Angeles Angels
Bowman Black Autographs,BBC-WB,Walker Buehler,Los Angeles Dodgers
Bowman Initiation,BI-1,Dansby Swanson,Arizona Diamondbacks
Bowman Initiation,BI-2,Brendan Rodgers,Colorado Rockies
Bowman Initiation,BI-3,Dillon Tate,Texas Rangers
Bowman Initiation,BI-4,Kyle Tucker,Houston Astros
Bowman Initiation,BI-5,Tyler Jay,Minnesota Twins
Bowman Initiation,BI-6,Andrew Benintendi,Boston Red Sox
Bowman Initiation,BI-7,Carson Fulmer,Chicago White Sox
Bowman Initiation,BI-8,Ian Happ,Chicago Cubs
Bowman Initiation,BI-9,Cornelius Randolph,Philadelphia Phillies
Bowman Initiation,BI-10,Tyler Stephenson,Cincinnati Reds
Bowman Initiation,BI-11,Josh Naylor,Miami Marlins
Bowman Initiation,BI-12,Garrett Whitley,Tampa Bay Rays
Bowman Initiation,BI-13,Kolby Allard,Atlanta Braves
Bowman Initiation,BI-14,Trent Clark,Milwaukee Brewers
Bowman Initiation,BI-15,James Kaprielian,New York Yankees
Bowman Initiation,BI-16,Phil Bickford,San Francisco Giants
Bowman Initiation,BI-17,Kevin Newman,Pittsburgh Pirates
Bowman Initiation,BI-18,Richie Martin,Oakland Athletics
Bowman Initiation,BI-19,Ashe Russell,Kansas City Royals
Bowman Initiation,BI-20,Beau Burrows,Detroit Tigers
Bowman Scouts Fantasy Impact,BSI-AB,Andrew Benintendi,Boston Red Sox
Bowman Scouts Fantasy Impact,BSI-CF,Carson Fulmer,Chicago White Sox
Bowman Scouts Fantasy Impact,BSI-DS,Dansby Swanson,Arizona Diamondbacks
Bowman Scouts Fantasy Impact,BSI-DT,Dillon Tate,Texas Rangers
Bowman Scouts Fantasy Impact,BSI-IH,Ian Happ,Chicago Cubs
Bowman Scouts Fantasy Impact,BSI-JA,Jorge Alfaro,Philadelphia Phillies
Bowman Scouts Fantasy Impact,BSI-JC,J.P. Crawford,Philadelphia Phillies
Bowman Scouts Fantasy Impact,BSI-JK,James Kaprielian,New York Yankees
Bowman Scouts Fantasy Impact,BSI-KC,Kyle Crick,San Francisco Giants
Bowman Scouts Fantasy Impact,BSI-KF,Kyle Freeland,Colorado Rockies
Bowman Scouts Fantasy Impact,BSI-KN,Kevin Newman,Pittsburgh Pirates
Bowman Scouts Fantasy Impact,BSI-KZ,Kyle Zimmer,Kansas City Royals
Bowman Scouts Fantasy Impact,BSI-LG,Lucas Giolito,Washington Nationals
Bowman Scouts Fantasy Impact,BSI-MO,Matt Olson,Oakland Athletics
Bowman Scouts Fantasy Impact,BSI-TA,Tim Anderson,Chicago White Sox
Bowman Scouts Fantasy Impact,BSI-TE,Thomas Eshelman,Houston Astros
Bowman Scouts Fantasy Impact,BSI-TG,Tyler Glasnow,Pittsburgh Pirates
Bowman Scouts Fantasy Impact,BSI-TJ,Tyler Jay,Minnesota Twins
Bowman Scouts Fantasy Impact,BSI-WB,Walker Buehler,Los Angeles Dodgers
Bowman Scouts Fantasy Impact,BSI-YL,Yoan Lopez,Arizona Diamondbacks
Chrome Prospects,1,Dansby Swanson,Arizona Diamondbacks
Chrome Prospects,2,Yoan Lopez,Arizona Diamondbacks
Chrome Prospects,3,Bailey Falter,Philadelphia Phillies
Chrome Prospects,4,Casey Gillaspie,Tampa Bay Rays
Chrome Prospects,5,Demi Orimoloye,Milwaukee Brewers
Chrome Prospects,6,Steven Duggar,San Francisco Giants
Chrome Prospects,7,Tyler Alexander,Detroit Tigers
Chrome Prospects,8,Courtney Hawkins,Chicago White Sox
Chrome Prospects,9,Casey Hughston,Pittsburgh Pirates
Chrome Prospects,10,Kolby Allard,Atlanta Braves
Chrome Prospects,11,Austin Meadows,Pittsburgh Pirates
Chrome Prospects,12,Joe McCarthy,Tampa Bay Rays
Chrome Prospects,13,Tyler Stephenson,Cincinnati Reds
Chrome Prospects,14,Ashe Russell,Kansas City Royals
Chrome Prospects,15,Dylan Moore,Texas Rangers
Chrome Prospects,16,Donnie Dewees,Chicago Cubs
Chrome Prospects,17,Beau Burrows,Detroit Tigers
Chrome Prospects,18,Greg Pickett,Philadelphia Phillies
Chrome Prospects,19,Parker French,Colorado Rockies
Chrome Prospects,20,Cam Gibson,Detroit Tigers
Chrome Prospects,21,Braden Bishop,Seattle Mariners
Chrome Prospects,22,Ryan Kellogg,Chicago Cubs
Chrome Prospects,23,Monte Harrison,Milwaukee Brewers
Chrome Prospects,24,Zack Erwin,Chicago White Sox
Chrome Prospects,25,J.P. Crawford,Philadelphia Phillies
Chrome Prospects,26,Ryan McMahon,Colorado Rockies
Chrome Prospects,27,Kyle Holder,New York Yankees
Chrome Prospects,28,Ian Happ,Chicago Cubs
Chrome Prospects,29,Anthony Hermelyn,Houston Astros
Chrome Prospects,30,Jimmy Herget,Cincinnati Reds
Chrome Prospects,31,Mike Nikorak,Colorado Rockies
Chrome Prospects,32,Alex Young,Arizona Diamondbacks
Chrome Prospects,33,Tyler Mark,Arizona Diamondbacks
Chrome Prospects,34,Trent Clark,Milwaukee Brewers
Chrome Prospects,35,Benton Moss,Tampa Bay Rays
Chrome Prospects,36,Matt Withrow,Atlanta Braves
Chrome Prospects,37,Chris Shaw,San Francisco Giants
Chrome Prospects,38,Manuel Margot,Boston Red Sox
Chrome Prospects,39,Lucas Giolito,Washington Nationals
