Card Set,Number,Player,Team,Seq.
All Clear for Takeoff,1,LeBron James,Los Angeles Lakers,
All Clear for Takeoff,2,Victor Oladipo,Indiana Pacers,
All Clear for Takeoff,3,Dominique Wilkins,Atlanta Hawks,
All Clear for Takeoff,4,Larry Nance Jr.,Cleveland Cavaliers,
All Clear for Takeoff,5,Zach LaVine,Chicago Bulls,
All Clear for Takeoff,6,Russell Westbrook,Oklahoma City Thunder,
All Clear for Takeoff,7,Spud Webb,Atlanta Hawks,
All Clear for Takeoff,8,Dwight Howard,Washington Wizards,
All Clear for Takeoff,9,Shawn Kemp,Seattle Supersonics,
All Clear for Takeoff,10,Tracy McGrady,Toronto Raptors,
All Clear for Takeoff,11,Blake Griffin,Detroit Pistons,
All Clear for Takeoff,12,Donovan Mitchell,Utah Jazz,
All Clear for Takeoff,13,Julius Erving,Philadelphia 76ers,
All Clear for Takeoff,14,Dennis Smith Jr.,Dallas Mavericks,
All Clear for Takeoff,15,Kobe Bryant,Los Angeles Lakers,
All Clear for Takeoff Blue,1,LeBron James,Los Angeles Lakers,49
All Clear for Takeoff Blue,2,Victor Oladipo,Indiana Pacers,49
All Clear for Takeoff Blue,3,Dominique Wilkins,Atlanta Hawks,49
All Clear for Takeoff Blue,4,Larry Nance Jr.,Cleveland Cavaliers,49
All Clear for Takeoff Blue,5,Zach LaVine,Chicago Bulls,49
All Clear for Takeoff Blue,6,Russell Westbrook,Oklahoma City Thunder,49
All Clear for Takeoff Blue,7,Spud Webb,Atlanta Hawks,49
All Clear for Takeoff Blue,8,Dwight Howard,Washington Wizards,49
All Clear for Takeoff Blue,9,Shawn Kemp,Seattle Supersonics,49
All Clear for Takeoff Blue,10,Tracy McGrady,Toronto Raptors,49
All Clear for Takeoff Blue,11,Blake Griffin,Detroit Pistons,49
All Clear for Takeoff Blue,12,Donovan Mitchell,Utah Jazz,49
All Clear for Takeoff Blue,13,Julius Erving,Philadelphia 76ers,49
All Clear for Takeoff Blue,14,Dennis Smith Jr.,Dallas Mavericks,49
All Clear for Takeoff Blue,15,Kobe Bryant,Los Angeles Lakers,49
All Clear for Takeoff Fast Break Holo,1,LeBron James,Los Angeles Lakers,
All Clear for Takeoff Fast Break Holo,2,Victor Oladipo,Indiana Pacers,
All Clear for Takeoff Fast Break Holo,3,Dominique Wilkins,Atlanta Hawks,
All Clear for Takeoff Fast Break Holo,4,Larry Nance Jr.,Cleveland Cavaliers,
All Clear for Takeoff Fast Break Holo,5,Zach LaVine,Chicago Bulls,
All Clear for Takeoff Fast Break Holo,6,Russell Westbrook,Oklahoma City Thunder,
All Clear for Takeoff Fast Break Holo,7,Spud Webb,Atlanta Hawks,
All Clear for Takeoff Fast Break Holo,8,Dwight Howard,Washington Wizards,
All Clear for Takeoff Fast Break Holo,9,Shawn Kemp,Seattle Supersonics,
All Clear for Takeoff Fast Break Holo,10,Tracy McGrady,Toronto Raptors,
All Clear for Takeoff Fast Break Holo,11,Blake Griffin,Detroit Pistons,
All Clear for Takeoff Fast Break Holo,12,Donovan Mitchell,Utah Jazz,
All Clear for Takeoff Fast Break Holo,13,Julius Erving,Philadelphia 76ers,
All Clear for Takeoff Fast Break Holo,14,Dennis Smith Jr.,Dallas Mavericks,
All Clear for Takeoff Fast Break Holo,15,Kobe Bryant,Los Angeles Lakers,
All Clear for Takeoff Gold,1,LeBron James,Los Angeles Lakers,10
All Clear for Takeoff Gold,2,Victor Oladipo,Indiana Pacers,10
All Clear for Takeoff Gold,3,Dominique Wilkins,Atlanta Hawks,10
All Clear for Takeoff Gold,4,Larry Nance Jr.,Cleveland Cavaliers,10
All Clear for Takeoff Gold,5,Zach LaVine,Chicago Bulls,10
All Clear for Takeoff Gold,6,Russell Westbrook,Oklahoma City Thunder,10
All Clear for Takeoff Gold,7,Spud Webb,Atlanta Hawks,10
All Clear for Takeoff Gold,8,Dwight Howard,Washington Wizards,10
All Clear for Takeoff Gold,9,Shawn Kemp,Seattle Supersonics,10
All Clear for Takeoff Gold,10,Tracy McGrady,Toronto Raptors,10
All Clear for Takeoff Gold,11,Blake Griffin,Detroit Pistons,10
All Clear for Takeoff Gold,12,Donovan Mitchell,Utah Jazz,10
All Clear for Takeoff Gold,13,Julius Erving,Philadelphia 76ers,10
All Clear for Takeoff Gold,14,Dennis Smith Jr.,Dallas Mavericks,10
All Clear for Takeoff Gold,15,Kobe Bryant,Los Angeles Lakers,10
All Clear for Takeoff Gold Vinyl,1,LeBron James,Los Angeles Lakers,1
All Clear for Takeoff Gold Vinyl,2,Victor Oladipo,Indiana Pacers,1
All Clear for Takeoff Gold Vinyl,3,Dominique Wilkins,Atlanta Hawks,1
All Clear for Takeoff Gold Vinyl,4,Larry Nance Jr.,Cleveland Cavaliers,1
All Clear for Takeoff Gold Vinyl,5,Zach LaVine,Chicago Bulls,1
All Clear for Takeoff Gold Vinyl,6,Russell Westbrook,Oklahoma City Thunder,1
All Clear for Takeoff Gold Vinyl,7,Spud Webb,Atlanta Hawks,1
All Clear for Takeoff Gold Vinyl,8,Dwight Howard,Washington Wizards,1
All Clear for Takeoff Gold Vinyl,9,Shawn Kemp,Seattle Supersonics,1
All Clear for Takeoff Gold Vinyl,10,Tracy McGrady,Toronto Raptors,1
All Clear for Takeoff Gold Vinyl,11,Blake Griffin,Detroit Pistons,1
All Clear for Takeoff Gold Vinyl,12,Donovan Mitchell,Utah Jazz,1
All Clear for Takeoff Gold Vinyl,13,Julius Erving,Philadelphia 76ers,1
All Clear for Takeoff Gold Vinyl,14,Dennis Smith Jr.,Dallas Mavericks,1
All Clear for Takeoff Gold Vinyl,15,Kobe Bryant,Los Angeles Lakers,1
All Clear for Takeoff Green,1,LeBron James,Los Angeles Lakers,5
All Clear for Takeoff Green,2,Victor Oladipo,Indiana Pacers,5
All Clear for Takeoff Green,3,Dominique Wilkins,Atlanta Hawks,5
All Clear for Takeoff Green,4,Larry Nance Jr.,Cleveland Cavaliers,5
All Clear for Takeoff Green,5,Zach LaVine,Chicago Bulls,5
All Clear for Takeoff Green,6,Russell Westbrook,Oklahoma City Thunder,5
All Clear for Takeoff Green,7,Spud Webb,Atlanta Hawks,5
All Clear for Takeoff Green,8,Dwight Howard,Washington Wizards,5
All Clear for Takeoff Green,9,Shawn Kemp,Seattle Supersonics,5
All Clear for Takeoff Green,10,Tracy McGrady,Toronto Raptors,5
All Clear for Takeoff Green,11,Blake Griffin,Detroit Pistons,5
All Clear for Takeoff Green,12,Donovan Mitchell,Utah Jazz,5
All Clear for Takeoff Green,13,Julius Erving,Philadelphia 76ers,5
All Clear for Takeoff Green,14,Dennis Smith Jr.,Dallas Mavericks,5
All Clear for Takeoff Green,15,Kobe Bryant,Los Angeles Lakers,5
