Card Set,Number,Player,Team
Base,1,Mike Trout,Los Angeles Angels
Base,2,Manny Machado,San Diego Padres
Base,3,Francisco Lindor,Cleveland Indians
Base,4,Paul Goldschmidt,St. Louis Cardinals
Base,5,Brusdar Graterol,Los Angeles Dodgers
Base,6,Whit Merrifield,Kansas City Royals
Base,7,Andres Muñoz,San Diego Padres
Base,8,Luis Robert,Chicago White Sox
Base,9,Zack Collins,Chicago White Sox
Base,10,Jose Berrios,Minnesota Twins
Base,11,Randy Arozarena,Tampa Bay Rays
Base,12,John Means,Baltimore Orioles
Base,13,Aaron Judge,New York Yankees
Base,14,Yadier Molina,St. Louis Cardinals
Base,15,Logan Allen,Cleveland Indians
Base,16,Anthony Kay,Toronto Blue Jays
Base,17,J.D. Martinez,Boston Red Sox
Base,18,Kris Bryant,Chicago Cubs
Base,19,Willie Calhoun,Texas Rangers
Base,20,Justin Dunn,Seattle Mariners
Base,21,Buster Posey,San Francisco Giants
Base,22,Freddie Freeman,Atlanta Braves
Base,23,Keston Hiura,Milwaukee Brewers
Base,24,Jordan Yamamoto,Miami Marlins
Base,25,Yordan Alvarez,Houston Astros
Base,26,Rhys Hoskins,Philadelphia Phillies
Base,27,Jacob deGrom,New York Mets
Base,28,Ronald Acuña Jr.,Atlanta Braves
Base,29,Stephen Strasburg,Washington Nationals
Base,30,Sheldon Neuse,Oakland Athletics
Base,31,Mookie Betts,Los Angeles Dodgers
Base,32,Gleyber Torres,New York Yankees
Base,33,Eugenio Suarez,Cincinnati Reds
Base,34,A.J. Puk,Oakland Athletics
Base,35,Bryce Harper,Philadelphia Phillies
Base,36,Aaron Civale,Cleveland Indians
Base,37,Yoshi Tsutsugo,Tampa Bay Rays
Base,38,Mauricio Dubon,San Francisco Giants
Base,39,Yusei Kikuchi,Seattle Mariners
Base,40,Jorge Alfaro,Miami Marlins
Base,41,Blake Snell,Tampa Bay Rays
Base,42,Evan Longoria,San Francisco Giants
Base,43,Matt Chapman,Oakland Athletics
Base,44,Nico Hoerner,Chicago Cubs
Base,45,Josh Bell,Pittsburgh Pirates
Base,46,Charlie Blackmon,Colorado Rockies
Base,47,Bobby Bradley,Cleveland Indians
Base,48,Adrian Morejon,San Diego Padres
Base,49,Yu Chang,Cleveland Indians
Base,50,Bo Bichette,Toronto Blue Jays
Base,51,Michel Baez,San Diego Padres
Base,52,Eddie Rosario,Minnesota Twins
Base,53,Matthew Boyd,Detroit Tigers
Base,54,Juan Soto,Washington Nationals
Base,55,Gerrit Cole,New York Yankees
Base,56,Alex Bregman,Houston Astros
Base,57,Adbert Alzolay,Chicago Cubs
Base,58,Shohei Ohtani,Los Angeles Angels
Base,59,Salvador Perez,Kansas City Royals
Base,60,Austin Meadows,Tampa Bay Rays
Base,61,Nolan Arenado,Colorado Rockies
Base,62,Jesus Luzardo,Oakland Athletics
