Card Set,Number,Player,Team
Base,U-1,Anthony Rendon,Los Angeles Angels
Base,U-2,David Price,Los Angeles Dodgers
Base,U-3,Starling Marte,Arizona Diamondbacks
Base,U-4,Kole Calhoun,Arizona Diamondbacks
Base,U-5,Alex Verdugo,Boston Red Sox
Base,U-6,Jason Kipnis,Chicago Cubs
Base,U-7,Alec Mills,Chicago Cubs
Base,U-8,Edwin Encarnacion,Chicago White Sox
Base,U-9,Yasmani Grandal,Chicago White Sox
Base,U-10,Mike Moustakas,Cincinnati Reds
Base,U-11,Cameron Maybin,Detroit Tigers
Base,U-12,C.J. Cron,Detroit Tigers
Base,U-13,Jonathan Villar,Miami Marlins
Base,U-14,Jesus Aguilar,Miami Marlins
Base,U-15,Logan Morrison,Milwaukee Brewers
Base,U-16,Kenta Maeda,Minnesota Twins
Base,U-17,Rich Hill,Minnesota Twins
Base,U-18,Johnny Davis,Tampa Bay Rays
Base,U-19,Neil Walker,Philadelphia Phillies
Base,U-20,Zack Wheeler,Philadelphia Phillies
Base,U-21,Tommy Pham,San Diego Padres
Base,U-22,Zach Davies,San Diego Padres
Base,U-23,Nik Turley,Pittsburgh Pirates
Base,U-24,Hunter Pence,San Francisco Giants
Base,U-25,Todd Frazier,Texas Rangers
Base,U-26,Yoshi Tsutsugo,Tampa Bay Rays
Base,U-27,Josh Taylor,Boston Red Sox
Base,U-28,Ian Miller,Chicago Cubs
Base,U-29,Phillip Diehl,Colorado Rockies
Base,U-30,Dario Agrazal,Detroit Tigers
Base,U-31,Jesus Tinoco,Colorado Rockies
Base,U-32,Cody Stashak,Minnesota Twins
Base,U-33,Mike King,New York Yankees
Base,U-34,Trent Grisham,San Diego Padres
Base,U-35,Randy Arozarena,Tampa Bay Rays
Base,U-36,Tyler Heineman,San Francisco Giants
Base,U-37,Nestor Cortes,Seattle Mariners
Base,U-38,Wilmer Flores,San Francisco Giants
Base,U-39,Deivy Grullon,Philadelphia Phillies
Base,U-40,Erick Mejia,Kansas City Royals
Base,U-41,Zach Green,San Francisco Giants
Base,U-42,Starlin Castro,Washington Nationals
Base,U-43,Eric Thames,Washington Nationals
Base,U-44,Jarrod Dyson,Pittsburgh Pirates
Base,U-45,Brock Holt,Milwaukee Brewers
Base,U-46,Cesar Hernandez,Cleveland Indians
Base,U-47,Domingo Santana,Cleveland Indians
Base,U-48,Kevin Pillar,Boston Red Sox
Base,U-49,Gabe Speier,Kansas City Royals
Base,U-50,Cy Sneed,Houston Astros
Base,U-51,Bo Bichette,Toronto Blue Jays
Base,U-52,Brendan McKay,Tampa Bay Rays
