Card Set,Number,Player,Team
Base Short Print Variations,1,Ronald Acuña Jr.,Atlanta Braves
Base Short Print Variations,7,Gleyber Torres,New York Yankees
Base Short Print Variations,10,Clayton Kershaw,Los Angeles Dodgers
Base Short Print Variations,16,Charlie Blackmon,Colorado Rockies
Base Short Print Variations,32,Carlos Correa,Houston Astros
Base Short Print Variations,34,Josh Donaldson,Cleveland Indians
Base Short Print Variations,37,Marcus Stroman,Toronto Blue Jays
Base Short Print Variations,41,Corey Seager,Los Angeles Dodgers
Base Short Print Variations,46,Jose Abreu,Chicago White Sox
Base Short Print Variations,49,Michael Kopech,Chicago White Sox
Base Short Print Variations,50,Mookie Betts,Boston Red Sox
Base Short Print Variations,52,J.T. Realmuto,Miami Marlins
Base Short Print Variations,53,Brandon Crawford,San Francisco Giants
Base Short Print Variations,57,Justin Verlander,Houston Astros
Base Short Print Variations,60,Kyle Tucker,Houston Astros
Base Short Print Variations,62,Elvis Andrus,Texas Rangers
Base Short Print Variations,77,J.D. Martinez,Boston Red Sox
Base Short Print Variations,84,Matt Carpenter,St. Louis Cardinals
Base Short Print Variations,100,Mike Trout,Los Angeles Angels
Base Short Print Variations,107,Scooter Gennett,Cincinnati Reds
Base Short Print Variations,109,Michael Conforto,New York Mets
Base Short Print Variations,110,Trevor Bauer,Cleveland Indians
Base Short Print Variations,112,Joey Gallo,Texas Rangers
Base Short Print Variations,119,Willson Contreras,Chicago Cubs
Base Short Print Variations,125,Paul DeJong,St. Louis Cardinals
Base Short Print Variations,128,Yoenis Cespedes,New York Mets
Base Short Print Variations,130,Blake Snell,Tampa Bay Rays
Base Short Print Variations,133,Ryan Zimmerman,Washington Nationals
Base Short Print Variations,137,Carlos Rodon,Chicago White Sox
Base Short Print Variations,139,Mitch Haniger,Seattle Mariners
Base Short Print Variations,149,Khris Davis,Oakland Athletics
Base Short Print Variations,150,Aaron Judge,New York Yankees
Base Short Print Variations,157,Buster Posey,San Francisco Giants
Base Short Print Variations,161,Eric Hosmer,San Diego Padres
Base Short Print Variations,163,Aaron Nola,Philadelphia Phillies
Base Short Print Variations,166,Matt Chapman,Oakland Athletics
Base Short Print Variations,168,Salvador Perez,Kansas City Royals
Base Short Print Variations,176,Trea Turner,Washington Nationals
Base Short Print Variations,178,Jose Altuve,Houston Astros
Base Short Print Variations,180,Justin Turner,Los Angeles Dodgers
Base Short Print Variations,183,Freddie Freeman,Atlanta Braves
Base Short Print Variations,200,Jacob deGrom,New York Mets
Base Short Print Variations,209,Nicholas Castellanos,Detroit Tigers
Base Short Print Variations,210,Kris Bryant,Chicago Cubs
Base Short Print Variations,213,Juan Soto,Washington Nationals
Base Short Print Variations,215,Didi Gregorius,New York Yankees
Base Short Print Variations,221,Luis Severino,New York Yankees
Base Short Print Variations,222,Zack Greinke,Arizona Diamondbacks
Base Short Print Variations,223,Jose Ramirez,Cleveland Indians
Base Short Print Variations,225,Yadier Molina,St. Louis Cardinals
Base Short Print Variations,228,Rafael Devers,Boston Red Sox
Base Short Print Variations,230,Miguel Cabrera,Detroit Tigers
Base Short Print Variations,238,Whit Merrifield,Kansas City Royals
Base Short Print Variations,250,Shohei Ohtani,Los Angeles Angels
Base Short Print Variations,253,Starling Marte,Pittsburgh Pirates
Base Short Print Variations,258,Eddie Rosario,Minnesota Twins
Base Short Print Variations,262,Adam Jones,Baltimore Orioles
Base Short Print Variations,269,Francisco Lindor,Cleveland Indians
Base Short Print Variations,276,Nolan Arenado,Colorado Rockies
Base Short Print Variations,279,Rhys Hoskins,Philadelphia Phillies
Base Short Print Variations,284,Joey Votto,Cincinnati Reds
Base Short Print Variations,287,Jesus Aguilar,Milwaukee Brewers
Base Short Print Variations,292,Dee Gordon,Seattle Mariners
Base Short Print Variations,297,Paul Goldschmidt,Arizona Diamondbacks
Base Short Print Variations,300,Christian Yelich,Milwaukee Brewers
Base Short Print Variations,302,Jose Berrios,Minnesota Twins
Base Short Print Variations,306,Justus Sheffield,New York Yankees
Base Short Print Variations,310,Javier Baez,Chicago Cubs
Base Short Print Variations,311,Jake Bauers,Tampa Bay Rays
Base Short Print Variations,313,Robinson Cano,Seattle Mariners
Base Short Print Variations,323,George Springer,Houston Astros
Base Short Print Variations,330,Lorenzo Cain,Milwaukee Brewers
Base Short Print Variations,336,Corey Kluber,Cleveland Indians
Base Short Print Variations,344,Max Scherzer,Washington Nationals
Base Short Print Variations,349,Kyle Schwarber,Chicago Cubs
Base Super Short Print Variations,10,Sandy Koufax,Los Angeles Dodgers
Base Super Short Print Variations,21,Ozzie Smith,San Diego Padres
Base Super Short Print Variations,32,Cal Ripken Jr.,Baltimore Orioles
