Card Family,Parallel,Seq.
Base,Metallic,
Base,Gold Metallic,1
Autographs,Metallic,
Autographs,Gold Metallic,1
Autograph Relics,Metallic,
Autograph Relics,Gold Metallic,1
Relics,Metallic,
Relics,Gold Metallic,1
Holiday Relics,Metallic,
Holiday Relics,Gold Metallic,1
