BASE,,,
BASE CARDS,,,
BP19,Johan Mieses,Los Angeles Dodgers®
BP20,Will Smith,Los Angeles Dodgers®
BP21,Luis Robert,Chicago White Sox®
BP22,Yadier Alvarez,Los Angeles Dodgers®
BP23,Jeren Kendall,Los Angeles Dodgers®
BP24,Bobby Bradley,Cleveland Indians®
BP25,Drew Ellis,Arizona Diamondbacks®
BP26,Alfredro Rodriguez,Cincinnati Reds®
BP27,Jose Trevino,Texas Rangers®
BP28,Kolby Allard,Atlanta BravesTM
BP29,Taylor Ward,Angels®
BP30,Cornelius Randolph,Philadelphia Phillies®
BP31,DJ Peters,Los Angeles Dodgers®
BP32,Domingo Acevedo,New York Yankees®
BP33,James Nelson,Miami Marlins®
BP34,Josh Ockimey,Boston Red Sox®
BP35,Marcos Molina,New York Mets®
BP36,Dennis Santana,Los Angeles Dodgers®
BP37,Jake Burger,Chicago White Sox®
BP38,Mitch Keller,Pittsburgh Pirates®
BP39,Colton Welker,Colorado RockiesTM
BP40,Pedro Avila,San Diego PadresTM
BP41,Jason Martin,Pittsburgh Pirates®
BP42,Braxton Garrett,Miami Marlins®
BP43,Brendan Rodgers,Colorado RockiesTM
BP44,James Kaprielian,Oakland AthleticsTM
BP45,Greg Deichmann,Oakland AthleticsTM
BP46,Cristian Pache,Atlanta BravesTM
BP47,Ibandel Isabel,Los Angeles Dodgers®

BP48,Hunter Greene,Cincinnati Reds®
BP49,Nick Gordon,Minnesota Twins®
BP50,Eloy Jimenez,Chicago White Sox®
BP51,Adonis Medina,Philadelphia Phillies®
BP52,Juan Soto,Washington Nationals®
BP53,Miguelangel Sierra,Houston Astros®
BP54,Alex Lange,Chicago Cubs®
BP55,Kyle Tucker,Houston Astros®
BP56,TJ Zeuch,Toronto Blue Jays®
BP57,Luis Urias,San Diego PadresTM
BP58,Sean Murphy,Oakland AthleticsTM
BP59,Oscar De La Cruz,Chicago Cubs®
BP60,Brian Miller,Miami Marlins®
BP61,Matt Thaiss,Angels®
BP62,Kyle Cody,Texas Rangers®
BP63,Dylan Cozens,Philadelphia Phillies®
BP64,MJ Melendez,Kansas City Royals®
BP65,Scott Kingery,Philadelphia Phillies®
BP66,Jordan Humphreys,New York Mets®
BP67,Michel Baez,San Diego PadresTM
BP68,Brendan McKay,Tampa Bay RaysTM
BP69,Justus Sheffield,New York Yankees®
BP70,Merandy Gonzalez,Miami Marlins®
BP71,Touki Toussaint,Atlanta BravesTM
BP72,Andres Gimenez,New York Mets®
BP73,Adrian Morejon,San Diego PadresTM
BP74,Austin Voth,Washington Nationals®
BP75,Luis Garcia,Philadelphia Phillies®
BP76,Isaac Paredes,Detroit Tigers®
BP77,Jake Kalish,Kansas City Royals®
BP78,Shed Long,Cincinnati Reds®
BP79,Keibert Ruiz,Los Angeles Dodgers®
BP80,Matt Hall,Detroit Tigers®
BP81,Nick Pratto,Kansas City Royals®
BP82,Justin Dunn,New York Mets®
BP83,Ian Anderson,Atlanta BravesTM
BP84,Franklyn Kilome,Philadelphia Phillies®
BP85,Dane Dunning,Chicago White Sox®
BP86,Michael Kopech,Chicago White Sox®
BP87,McKenzie Mills,Philadelphia Phillies®
BP88,Quentin Holmes,Cleveland Indians®
BP89,Mike Soroka,Atlanta BravesTM
BP90,Stephen Gonsalves,Minnesota Twins®
BP91,Spencer Howard,Philadelphia Phillies®
BP92,Ryan Vilade,Colorado RockiesTM
BP93,Royce Lewis,Minnesota Twins®
BP94,Adam Haseley,Philadelphia Phillies®
BP95,Jorge Mateo,Oakland AthleticsTM
BP96,Junior Fernandez,St. Louis Cardinals®
BP97,Corey Ray,Milwaukee BrewersTM
BP98,Evan White,Seattle MarinersTM
BP99,Logan Allen,San Diego PadresTM

BP100,Gleyber Torres,New York Yankees®
BP101,Zack Littell,Minnesota Twins®
BP102,Matt Sauer,New York Yankees®
BP103,Mitchell White,Los Angeles Dodgers®
BP104,Nick Solak,New York Yankees®
BP105,Jorge Ona,San Diego PadresTM
BP106,D.J. Stewart,Baltimore Orioles®
BP107,D.L. Hall,Baltimore Orioles®
BP108,Chris Rodriguez,Angels®
BP109,Sam Howard,Colorado RockiesTM
BP110,Eric Pardinho,Toronto Blue Jays®
BP111,JoJo Romero,Philadelphia Phillies®
BP112,Aramis Garcia,San Francisco Giants®
BP113,Taylor Clarke,Arizona Diamondbacks®
BP114,Fernando Tatis Jr.,San Diego PadresTM
BP115,Cal Quantrill,San Diego PadresTM
BP116,Khalil Lee,Kansas City Royals®
BP117,C.J. Chatham,Boston Red Sox®
BP118,Lazaro Armenteros,Oakland AthleticsTM
BP119,Gavin LaValley,Cincinnati Reds®
BP120,Nick Senzel,Cincinnati Reds®
BP121,Jose Adolis Garcia,St. Louis Cardinals®
BP122,Ronald Guzman,Texas Rangers®
BP123,Jordan Hicks,St. Louis Cardinals®
BP124,Alex Faedo,Detroit Tigers®
BP125,J.B. Bukauskas,Houston Astros®
BP126,Jesus Luzardo,Oakland AthleticsTM
BP127,Josh Lowe,Tampa Bay RaysTM
BP128,Yu-Cheng Chang,Cleveland Indians®
BP129,Kyle Young,Philadelphia Phillies®
