Card Set,Number,Player,Team
Base Short Print Variations,US1N,Nolan Ryan,California Angels
Base Short Print Variations,US1S,Shohei Ohtani,Los Angeles Angels
Base Short Print Variations,US7B,Babe Ruth,New York Yankees
Base Short Print Variations,US7G,Giancarlo Stanton,New York Yankees
Base Short Print Variations,US9,Roberto Clemente,Pittsburgh Pirates
Base Short Print Variations,US10,Ian Kinsler,Boston Red Sox
Base Short Print Variations,US12,Miles Mikolas,St. Louis Cardinals
Base Short Print Variations,US14,Scott Kingery,Philadelphia Phillies
Base Short Print Variations,US20,Don Mattingly,New York Yankees
Base Short Print Variations,US21,Sandy Koufax,Los Angeles Dodgers
Base Short Print Variations,US23P,Pedro Martinez,Boston Red Sox
Base Short Print Variations,US23W,Wade Boggs,Boston Red Sox
Base Short Print Variations,US31,Chipper Jones,Atlanta Braves
Base Short Print Variations,US34,Austin Meadows,Tampa Bay Rays
Base Short Print Variations,US38,Torii Hunter,Minnesota Twins
Base Short Print Variations,US44,Hank Aaron,Atlanta Braves
Base Short Print Variations,US58,Jordan Hicks,St. Louis Cardinals
Base Short Print Variations,US64,Ted Williams,Boston Red Sox
Base Short Print Variations,US68,Michael Soroka,Atlanta Braves
Base Short Print Variations,US73,Marcell Ozuna,St. Louis Cardinals
Base Short Print Variations,US76,George Brett,Kansas City Royals
Base Short Print Variations,US83S,Andrew McCutchen,San Francisco Giants
Base Short Print Variations,US83N,Andrew McCutchen,New York Yankees
Base Short Print Variations,US95,Dustin Fowler,Oakland Athletics
Base Short Print Variations,US98,Randy Johnson,Seattle Mariners
Base Short Print Variations,US100,Ichiro,Seattle Mariners
Base Short Print Variations,US101,Roger Clemens,Boston Red Sox
Base Short Print Variations,US110,Lourdes Gurriel Jr.,Toronto Blue Jays
Base Short Print Variations,US111,Bob Gibson,St. Louis Cardinals
Base Short Print Variations,US118E,Evan Longoria,San Francisco Giants
Base Short Print Variations,US118B,Bo Jackson,Kansas City Royals
Base Short Print Variations,US121,Rickey Henderson,Oakland Athletics
Base Short Print Variations,US151,Matt Kemp,Los Angeles Dodgers
Base Short Print Variations,US157,Ernie Banks,Chicago Cubs
Base Short Print Variations,US174,Fernando Romero,Minnesota Twins
Base Short Print Variations,US177,Mike Piazza,New York Mets
Base Short Print Variations,US195,J.D. Martinez,Boston Red Sox
Base Short Print Variations,US197,Will Clark,San Francisco Giants
Base Short Print Variations,US200L,Lous Gehrig,New York Yankees
Base Short Print Variations,US200G,Gleyber Torres,New York Yankees
Base Short Print Variations,US201,Nick Kingham,Pittsburgh Pirates
Base Short Print Variations,US213,Todd Frazier,New York Mets
Base Short Print Variations,US217,Trevor Hoffman,San Diego Padres
Base Short Print Variations,US218,Tyler O'Neill,St. Louis Cardinals
