2018 TOPPS BASEBALL SERIES 1 CHECKLIST,,,
BASE,,,
123,A.J. Ramos,New York Mets®,
124,Julio Urias,Los Angeles Dodgers®,
125,Yoenis Cespedes,New York Mets®,
126,National LeagueTM,National LeagueTM,Combo Cards
127,Byron Buxton,Minnesota Twins®,
128,Jake Marisnick,Houston Astros®,
129,Chris Sale,Boston Red Sox®,League Leaders
130,Brian Dozier,Minnesota Twins®,
131,Jonathan Schoop,Baltimore Orioles®,
132,Marcell Ozuna,Miami Marlins®,
133,Nomar Mazara,Texas Rangers®,
134,Lance Lynn,St. Louis Cardinals®,
135,,Atlanta BravesTM,Team Cards
136,Raudy Read,Washington Nationals®,Rookie
137,Michael Lorenzen,Cincinnati Reds®,
138,Luiz Gohara,Atlanta BravesTM,Rookie
139,Zach Davies,Milwaukee BrewersTM,League Leaders
140,Mookie Betts,Boston Red Sox®,
141,Brandon Drury,Arizona Diamondbacks®,
142,Adam Jones,Baltimore Orioles®,
143,James Paxton,Seattle MarinersTM,
144,Jean Segura,Seattle MarinersTM,
145,Michael Fulmer,Detroit Tigers®,
146,Zack Greinke,Arizona Diamondbacks®,League Leaders
147,Randal Grichuk,St. Louis Cardinals®,
148,Richard Urena,Toronto Blue Jays®,Rookie
149,John Jaso,Pittsburgh Pirates®,
150,Nolan Arenado,Colorado RockiesTM,
151,Ryan McMahon,Colorado RockiesTM,Rookie
152,Matt Barnes,Boston Red Sox®,
153,Scooter Gennett,Cincinnati Reds®,

154,George Springer,Houston Astros®,World Series
155,Matt Joyce,Oakland AthleticsTM,
156,,Milwaukee BrewersTM,Team Cards
157,Ichiro,Miami Marlins®,
158,Stephen Piscotty,St. Louis Cardinals®,
159,Joc Pederson,Los Angeles Dodgers®,
160,Masahiro Tanaka,New York Yankees®,
161,Matt Moore,San Francisco Giants®,
162,Matt Shoemaker,Angels®,
163,Mike Leake,Seattle MarinersTM,
164,Adeiny Hechavarria,Tampa Bay RaysTM,
165,Ty Blach,San Francisco Giants®,
166,Victor Robles,Washington Nationals®,Rookie
167,Dansby Swanson,Atlanta BravesTM,
168,Ricky Nolasco,Angels®,
