Card Set,Number,Player,Team
Base Short Print Variations,351,Bryce Harper,Washington Nationals,
Base Short Print Variations,351,Ty Cobb,Detroit Tigers,
Base Short Print Variations,351,Reggie Jackson,New York Yankees,
Base Short Print Variations,369,Chris Taylor,Los Angeles Dodgers,
Base Short Print Variations,384,Addison Russell,Chicago Cubs,
Base Short Print Variations,384,Ernie Banks,Chicago Cubs,
Base Short Print Variations,392,Marcus Stroman,Toronto Blue Jays,
Base Short Print Variations,393,Corey Kluber,Cleveland Indians,
Base Short Print Variations,397,Dallas Keuchel,Houston Astros,
Base Short Print Variations,400,Jose Altuve,Houston Astros,
Base Short Print Variations,400,Honus Wagner,Pittsburgh Pirates,
Base Short Print Variations,413,Trevor Bauer,Cleveland Indians,
Base Short Print Variations,416,Matt Olson,Oakland Athletics,
Base Short Print Variations,418,Jose Ramirez,Cleveland Indians,
Base Short Print Variations,430,Manny Margot,San Diego Padres,
Base Short Print Variations,431,Charlie Blackmon,Colorado Rockies,
Base Short Print Variations,431,Rickey Henderson,Oakland Athletics,
Base Short Print Variations,436,Yu Darvish,Chicago Cubs,
Base Short Print Variations,436,Greg Maddux,Atlanta Braves,
Base Short Print Variations,439,Dustin Pedroia,Boston Red Sox,
Base Short Print Variations,450,Joey Votto,Cincinnati Reds,
Base Short Print Variations,450,Johnny Bench,Cincinnati Reds,
Base Short Print Variations,454,Kyle Seager,Seattle Mariners,
Base Short Print Variations,462,Paul DeJong,St. Louis Cardinals,
Base Short Print Variations,462,Ozzie Smith,St. Louis Cardinals,
Base Short Print Variations,469,Sonny Gray,New York Yankees,
Base Short Print Variations,471,Josh Harrison,Pittsburgh Pirates,
Base Short Print Variations,484,Kenta Maeda,Los Angeles Dodgers,
Base Short Print Variations,499,Justin Bour,Miami Marlins,
Base Short Print Variations,500,Kris Bryant,Chicago Cubs,
Base Short Print Variations,500,Ryne Sandberg,Chicago Cubs,
Base Short Print Variations,502,Xander Bogaerts,Boston Red Sox,
Base Short Print Variations,503,Josh Donaldson,Toronto Blue Jays,
Base Short Print Variations,503,George Brett,Kansas City Royals,
Base Short Print Variations,506,Jose Berrios,Minnesota Twins,
Base Short Print Variations,507,Zack Greinke,Arizona Diamondbacks,
Base Short Print Variations,510,Freddie Freeman,Atlanta Braves,
Base Short Print Variations,510,Chipper Jones,Atlanta Braves,
Base Short Print Variations,515,Greg Bird,New York Yankees,
Base Short Print Variations,515,Don Mattingly,New York Yankees,
Base Short Print Variations,544,Yadier Molina,St. Louis Cardinals,
Base Short Print Variations,544,Roberto Clemente,Pittsburgh Pirates,
Base Short Print Variations,545,Nicholas Castellanos,Detroit Tigers,
Base Short Print Variations,550,Cal Ripken Jr,Baltimore Orioles,
Base Short Print Variations,550,Corey Seager,Los Angeles Dodgers,
Base Short Print Variations,550,Jackie Robinson,Brooklyn Dodgers,
Base Short Print Variations,555,Jacob deGrom,New York Mets,
Base Short Print Variations,556,Andrew Benintendi,Boston Red Sox,
Base Short Print Variations,556,Ted Williams,Boston Red Sox,
Base Short Print Variations,567,Felix Hernandez,Seattle Mariners,
Base Short Print Variations,576,Didi Gregorius,New York Yankees,
Base Short Print Variations,576,Derek Jeter,New York Yankees,
Base Short Print Variations,582,Albert Pujols,Los Angeles Angels,
Base Short Print Variations,582,Hank Aaron,Atlanta Braves,
Base Short Print Variations,585,Brandon Crawford,San Francisco Giants,
Base Short Print Variations,585,Willie McCovey,San Francisco Giants,
Base Short Print Variations,589,Adam Duvall,Cincinnati Reds,
Base Short Print Variations,593,Luke Weaver,St. Louis Cardinals,
Base Short Print Variations,599,Justin Turner,Los Angeles Dodgers,
Base Short Print Variations,600,Noah Syndergaard,New York Mets,
Base Short Print Variations,600,Tom Seaver,New York Mets,
Base Short Print Variations,605,Lucas Giolito,Chicago White Sox,
Base Short Print Variations,605,Frank Thomas,Chicago White Sox,
Base Short Print Variations,611,Max Scherzer,Washington Nationals,
Base Short Print Variations,615,Eric Thames,Milwaukee Brewers,
Base Short Print Variations,618,Paul Goldschmidt,Arizona Diamondbacks,
Base Short Print Variations,618,Lou Gehrig,New York Yankees,
Base Short Print Variations,629,Sandy Koufax,Los Angeles Dodgers,
Base Short Print Variations,632,Edwin Encarnacion,Cleveland Indians,
Base Short Print Variations,650,Justin Verlander,Houston Astros,
Base Short Print Variations,650,Bob Gibson,St. Louis Cardinals,
Base Short Print Variations,652,Matt Carpenter,St. Louis Cardinals,
Base Short Print Variations,665,Tommy Pham,St. Louis Cardinals,
Base Short Print Variations,698,Ronald Acuña Jr.,Atlanta Braves,
Base Short Print Variations,699,Gleyber Torres,New York Yankees,
Base Short Print Variations,700,Shohei Ohtani,Los Angeles Angels,
Base Super Short Print Variations,351,Bryce Harper,Washington Nationals,
Base Super Short Print Variations,384,Addison Russell,Chicago Cubs,
Base Super Short Print Variations,393,Corey Kluber,Cleveland Indians,
Base Super Short Print Variations,400,Jose Altuve,Houston Astros,
Base Super Short Print Variations,418,Jose Ramirez,Cleveland Indians,
Base Super Short Print Variations,431,Charlie Blackmon,Colorado Rockies,
Base Super Short Print Variations,436,Yu Darvish,Chicago Cubs,
Base Super Short Print Variations,439,Dustin Pedroia,Boston Red Sox,
Base Super Short Print Variations,450,Joey Votto,Cincinnati Reds,
Base Super Short Print Variations,469,Sonny Gray,New York Yankees,
Base Super Short Print Variations,500,Kris Bryant,Chicago Cubs,
Base Super Short Print Variations,503,Josh Donaldson,Toronto Blue Jays,
Base Super Short Print Variations,510,Freddie Freeman,Atlanta Braves,
Base Super Short Print Variations,544,Yadier Molina,St. Louis Cardinals,
Base Super Short Print Variations,550,Corey Seager,Los Angeles Dodgers,
Base Super Short Print Variations,555,Jacob deGrom,New York Mets,
Base Super Short Print Variations,556,Andrew Benintendi,Boston Red Sox,
Base Super Short Print Variations,567,Felix Hernandez,Seattle Mariners,
Base Super Short Print Variations,576,Didi Gregorius,New York Yankees,
Base Super Short Print Variations,582,Albert Pujols,Los Angeles Angels,
Base Super Short Print Variations,600,Noah Syndergaard,New York Mets,
Base Super Short Print Variations,611,Max Scherzer,Washington Nationals,
Base Super Short Print Variations,618,Paul Goldschmidt,Arizona Diamondbacks,
Base Super Short Print Variations,650,Justin Verlander,Houston Astros,
Base Super Short Print Variations,700,Shohei Ohtani,Los Angeles Angels,
