Card Set,Number,Player,Team,Seq.
All Americans,22,Grant Williams,Tennessee Volunteers,
All Americans,44,Ja Morant,Murray State Racers,
All Americans,62,RJ Barrett,Duke Blue Devils,
All Americans,84,Rui Hachimura,Gonzaga Bulldogs,
All Americans,100,Zion Williamson,Duke Blue Devils,
All Americans Black,22,Grant Williams,Tennessee Volunteers,1
All Americans Black,44,Ja Morant,Murray State Racers,1
All Americans Black,62,RJ Barrett,Duke Blue Devils,1
All Americans Black,84,Rui Hachimura,Gonzaga Bulldogs,1
All Americans Black,100,Zion Williamson,Duke Blue Devils,1
All Americans Black Mosaic,22,Grant Williams,Tennessee Volunteers,1
All Americans Black Mosaic,44,Ja Morant,Murray State Racers,1
All Americans Black Mosaic,62,RJ Barrett,Duke Blue Devils,1
All Americans Black Mosaic,84,Rui Hachimura,Gonzaga Bulldogs,1
All Americans Black Mosaic,100,Zion Williamson,Duke Blue Devils,1
All Americans Blue,22,Grant Williams,Tennessee Volunteers,
All Americans Blue,44,Ja Morant,Murray State Racers,
All Americans Blue,62,RJ Barrett,Duke Blue Devils,
All Americans Blue,84,Rui Hachimura,Gonzaga Bulldogs,
All Americans Blue,100,Zion Williamson,Duke Blue Devils,
All Americans Blue Wave,22,Grant Williams,Tennessee Volunteers,299
All Americans Blue Wave,44,Ja Morant,Murray State Racers,299
All Americans Blue Wave,62,RJ Barrett,Duke Blue Devils,299
All Americans Blue Wave,84,Rui Hachimura,Gonzaga Bulldogs,299
All Americans Blue Wave,100,Zion Williamson,Duke Blue Devils,299
All Americans Camo,22,Grant Williams,Tennessee Volunteers,25
All Americans Camo,44,Ja Morant,Murray State Racers,25
All Americans Camo,62,RJ Barrett,Duke Blue Devils,25
All Americans Camo,84,Rui Hachimura,Gonzaga Bulldogs,25
All Americans Camo,100,Zion Williamson,Duke Blue Devils,25
All Americans Carolina Blue,22,Grant Williams,Tennessee Volunteers,30
All Americans Carolina Blue,44,Ja Morant,Murray State Racers,30
All Americans Carolina Blue,62,RJ Barrett,Duke Blue Devils,30
All Americans Carolina Blue,84,Rui Hachimura,Gonzaga Bulldogs,30
All Americans Carolina Blue,100,Zion Williamson,Duke Blue Devils,30
All Americans Gold,22,Grant Williams,Tennessee Volunteers,10
All Americans Gold,44,Ja Morant,Murray State Racers,10
All Americans Gold,62,RJ Barrett,Duke Blue Devils,10
All Americans Gold,84,Rui Hachimura,Gonzaga Bulldogs,10
All Americans Gold,100,Zion Williamson,Duke Blue Devils,10
All Americans Gold Vinyl,22,Grant Williams,Tennessee Volunteers,5
All Americans Gold Vinyl,44,Ja Morant,Murray State Racers,5
All Americans Gold Vinyl,62,RJ Barrett,Duke Blue Devils,5
All Americans Gold Vinyl,84,Rui Hachimura,Gonzaga Bulldogs,5
All Americans Gold Vinyl,100,Zion Williamson,Duke Blue Devils,5
All Americans Green,22,Grant Williams,Tennessee Volunteers,
All Americans Green,44,Ja Morant,Murray State Racers,
All Americans Green,62,RJ Barrett,Duke Blue Devils,
All Americans Green,84,Rui Hachimura,Gonzaga Bulldogs,
All Americans Green,100,Zion Williamson,Duke Blue Devils,
All Americans Green and Yellow,22,Grant Williams,Tennessee Volunteers,249
All Americans Green and Yellow,44,Ja Morant,Murray State Racers,249
All Americans Green and Yellow,62,RJ Barrett,Duke Blue Devils,249
All Americans Green and Yellow,84,Rui Hachimura,Gonzaga Bulldogs,249
All Americans Green and Yellow,100,Zion Williamson,Duke Blue Devils,249
All Americans Green Ice,22,Grant Williams,Tennessee Volunteers,18
All Americans Green Ice,44,Ja Morant,Murray State Racers,18
All Americans Green Ice,62,RJ Barrett,Duke Blue Devils,18
All Americans Green Ice,84,Rui Hachimura,Gonzaga Bulldogs,18
All Americans Green Ice,100,Zion Williamson,Duke Blue Devils,18
All Americans Hyper,22,Grant Williams,Tennessee Volunteers,75
All Americans Hyper,44,Ja Morant,Murray State Racers,75
All Americans Hyper,62,RJ Barrett,Duke Blue Devils,75
All Americans Hyper,84,Rui Hachimura,Gonzaga Bulldogs,75
All Americans Hyper,100,Zion Williamson,Duke Blue Devils,75
All Americans Mojo,22,Grant Williams,Tennessee Volunteers,49
All Americans Mojo,44,Ja Morant,Murray State Racers,49
All Americans Mojo,62,RJ Barrett,Duke Blue Devils,49
All Americans Mojo,84,Rui Hachimura,Gonzaga Bulldogs,49
All Americans Mojo,100,Zion Williamson,Duke Blue Devils,49
All Americans Neon Green,22,Grant Williams,Tennessee Volunteers,125
All Americans Neon Green,44,Ja Morant,Murray State Racers,125
All Americans Neon Green,62,RJ Barrett,Duke Blue Devils,125
All Americans Neon Green,84,Rui Hachimura,Gonzaga Bulldogs,125
All Americans Neon Green,100,Zion Williamson,Duke Blue Devils,125
All Americans Neon Orange,22,Grant Williams,Tennessee Volunteers,149
All Americans Neon Orange,44,Ja Morant,Murray State Racers,149
All Americans Neon Orange,62,RJ Barrett,Duke Blue Devils,149
All Americans Neon Orange,84,Rui Hachimura,Gonzaga Bulldogs,149
All Americans Neon Orange,100,Zion Williamson,Duke Blue Devils,149
All Americans Orange,22,Grant Williams,Tennessee Volunteers,
All Americans Orange,44,Ja Morant,Murray State Racers,
All Americans Orange,62,RJ Barrett,Duke Blue Devils,
All Americans Orange,84,Rui Hachimura,Gonzaga Bulldogs,
All Americans Orange,100,Zion Williamson,Duke Blue Devils,
All Americans Orange Pulsar,22,Grant Williams,Tennessee Volunteers,20
All Americans Orange Pulsar,44,Ja Morant,Murray State Racers,20
All Americans Orange Pulsar,62,RJ Barrett,Duke Blue Devils,20
