Card Set,Number,Player,Team,Seq.
All Clear for Takeoff,1,Aaron Gordon,Orlando Magic,Kenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny WalkerKenny Walker
All Clear for Takeoff,2,Norman Powell,Toronto Raptors,
All Clear for Takeoff,3,Andre Drummond,Detroit Pistons,
All Clear for Takeoff,4,Giannis Antetokounmpo,Milwaukee Bucks,
All Clear for Takeoff,5,Jamal Murray,Denver Nuggets,
All Clear for Takeoff,6,Jaylen Brown,Boston Celtics,
All Clear for Takeoff,7,DeMar DeRozan,Toronto Raptors,
All Clear for Takeoff,8,Andrew Wiggins,Minnesota Timberwolves,
All Clear for Takeoff,9,Kevin Durant,Golden State Warriors,
All Clear for Takeoff,10,James Harden,Houston Rockets,
All Clear for Takeoff,11,Russell Westbrook,Oklahoma City Thunder,
All Clear for Takeoff,12,Blake Griffin,Los Angeles Clippers,
All Clear for Takeoff,13,Zach LaVine,Chicago Bulls,
All Clear for Takeoff,14,Larry Nance Jr.,Los Angeles Lakers,
All Clear for Takeoff,15,Malcolm Brogdon,Milwaukee Bucks,
All Clear for Takeoff Blue,1,Aaron Gordon,Orlando Magic,49
All Clear for Takeoff Blue,2,Norman Powell,Toronto Raptors,49
All Clear for Takeoff Blue,3,Andre Drummond,Detroit Pistons,49
All Clear for Takeoff Blue,4,Giannis Antetokounmpo,Milwaukee Bucks,49
All Clear for Takeoff Blue,5,Jamal Murray,Denver Nuggets,49
All Clear for Takeoff Blue,6,Jaylen Brown,Boston Celtics,49
All Clear for Takeoff Blue,7,DeMar DeRozan,Toronto Raptors,49
All Clear for Takeoff Blue,8,Andrew Wiggins,Minnesota Timberwolves,49
All Clear for Takeoff Blue,9,Kevin Durant,Golden State Warriors,49
All Clear for Takeoff Blue,10,James Harden,Houston Rockets,49
All Clear for Takeoff Blue,11,Russell Westbrook,Oklahoma City Thunder,49
All Clear for Takeoff Blue,12,Blake Griffin,Los Angeles Clippers,49
All Clear for Takeoff Blue,13,Zach LaVine,Chicago Bulls,49
All Clear for Takeoff Blue,14,Larry Nance Jr.,Los Angeles Lakers,49
All Clear for Takeoff Blue,15,Malcolm Brogdon,Milwaukee Bucks,49
All Clear for Takeoff Fast Break Holo,1,Aaron Gordon,Orlando Magic,
All Clear for Takeoff Fast Break Holo,2,Norman Powell,Toronto Raptors,
All Clear for Takeoff Fast Break Holo,3,Andre Drummond,Detroit Pistons,
All Clear for Takeoff Fast Break Holo,4,Giannis Antetokounmpo,Milwaukee Bucks,
All Clear for Takeoff Fast Break Holo,5,Jamal Murray,Denver Nuggets,
All Clear for Takeoff Fast Break Holo,6,Jaylen Brown,Boston Celtics,
All Clear for Takeoff Fast Break Holo,7,DeMar DeRozan,Toronto Raptors,
All Clear for Takeoff Fast Break Holo,8,Andrew Wiggins,Minnesota Timberwolves,
All Clear for Takeoff Fast Break Holo,9,Kevin Durant,Golden State Warriors,
All Clear for Takeoff Fast Break Holo,10,James Harden,Houston Rockets,
All Clear for Takeoff Fast Break Holo,11,Russell Westbrook,Oklahoma City Thunder,
All Clear for Takeoff Fast Break Holo,12,Blake Griffin,Los Angeles Clippers,
All Clear for Takeoff Fast Break Holo,13,Zach LaVine,Chicago Bulls,
All Clear for Takeoff Fast Break Holo,14,Larry Nance Jr.,Los Angeles Lakers,
All Clear for Takeoff Fast Break Holo,15,Malcolm Brogdon,Milwaukee Bucks,
All Clear for Takeoff Gold,1,Aaron Gordon,Orlando Magic,10
All Clear for Takeoff Gold,2,Norman Powell,Toronto Raptors,10
All Clear for Takeoff Gold,3,Andre Drummond,Detroit Pistons,10
All Clear for Takeoff Gold,4,Giannis Antetokounmpo,Milwaukee Bucks,10
All Clear for Takeoff Gold,5,Jamal Murray,Denver Nuggets,10
All Clear for Takeoff Gold,6,Jaylen Brown,Boston Celtics,10
All Clear for Takeoff Gold,7,DeMar DeRozan,Toronto Raptors,10
All Clear for Takeoff Gold,8,Andrew Wiggins,Minnesota Timberwolves,10
All Clear for Takeoff Gold,9,Kevin Durant,Golden State Warriors,10
All Clear for Takeoff Gold,10,James Harden,Houston Rockets,10
All Clear for Takeoff Gold,11,Russell Westbrook,Oklahoma City Thunder,10
All Clear for Takeoff Gold,12,Blake Griffin,Los Angeles Clippers,10
All Clear for Takeoff Gold,13,Zach LaVine,Chicago Bulls,10
All Clear for Takeoff Gold,14,Larry Nance Jr.,Los Angeles Lakers,10
All Clear for Takeoff Gold,15,Malcolm Brogdon,Milwaukee Bucks,10
All Clear for Takeoff Gold Vinyl,1,Aaron Gordon,Orlando Magic,1
All Clear for Takeoff Gold Vinyl,2,Norman Powell,Toronto Raptors,1
All Clear for Takeoff Gold Vinyl,3,Andre Drummond,Detroit Pistons,1
All Clear for Takeoff Gold Vinyl,4,Giannis Antetokounmpo,Milwaukee Bucks,1
All Clear for Takeoff Gold Vinyl,5,Jamal Murray,Denver Nuggets,1
All Clear for Takeoff Gold Vinyl,6,Jaylen Brown,Boston Celtics,1
All Clear for Takeoff Gold Vinyl,7,DeMar DeRozan,Toronto Raptors,1
All Clear for Takeoff Gold Vinyl,8,Andrew Wiggins,Minnesota Timberwolves,1
All Clear for Takeoff Gold Vinyl,9,Kevin Durant,Golden State Warriors,1
All Clear for Takeoff Gold Vinyl,10,James Harden,Houston Rockets,1
All Clear for Takeoff Gold Vinyl,11,Russell Westbrook,Oklahoma City Thunder,1
All Clear for Takeoff Gold Vinyl,12,Blake Griffin,Los Angeles Clippers,1
All Clear for Takeoff Gold Vinyl,13,Zach LaVine,Chicago Bulls,1
All Clear for Takeoff Gold Vinyl,14,Larry Nance Jr.,Los Angeles Lakers,1
All Clear for Takeoff Gold Vinyl,15,Malcolm Brogdon,Milwaukee Bucks,1
All Clear for Takeoff Green,1,Aaron Gordon,Orlando Magic,5
All Clear for Takeoff Green,2,Norman Powell,Toronto Raptors,5
All Clear for Takeoff Green,3,Andre Drummond,Detroit Pistons,5
All Clear for Takeoff Green,4,Giannis Antetokounmpo,Milwaukee Bucks,5
All Clear for Takeoff Green,5,Jamal Murray,Denver Nuggets,5
All Clear for Takeoff Green,6,Jaylen Brown,Boston Celtics,5
All Clear for Takeoff Green,7,DeMar DeRozan,Toronto Raptors,5
All Clear for Takeoff Green,8,Andrew Wiggins,Minnesota Timberwolves,5
All Clear for Takeoff Green,9,Kevin Durant,Golden State Warriors,5
All Clear for Takeoff Green,10,James Harden,Houston Rockets,5
All Clear for Takeoff Green,11,Russell Westbrook,Oklahoma City Thunder,5
All Clear for Takeoff Green,12,Blake Griffin,Los Angeles Clippers,5
All Clear for Takeoff Green,13,Zach LaVine,Chicago Bulls,5
All Clear for Takeoff Green,14,Larry Nance Jr.,Los Angeles Lakers,5
All Clear for Takeoff Green,15,Malcolm Brogdon,Milwaukee Bucks,5
All Clear for Takeoff Holo,1,Aaron Gordon,Orlando Magic,
All Clear for Takeoff Holo,2,Norman Powell,Toronto Raptors,
All Clear for Takeoff Holo,3,Andre Drummond,Detroit Pistons,
All Clear for Takeoff Holo,4,Giannis Antetokounmpo,Milwaukee Bucks,
All Clear for Takeoff Holo,5,Jamal Murray,Denver Nuggets,
All Clear for Takeoff Holo,6,Jaylen Brown,Boston Celtics,
All Clear for Takeoff Holo,7,DeMar DeRozan,Toronto Raptors,
All Clear for Takeoff Holo,8,Andrew Wiggins,Minnesota Timberwolves,
All Clear for Takeoff Holo,9,Kevin Durant,Golden State Warriors,
All Clear for Takeoff Holo,10,James Harden,Houston Rockets,
