Card Set,Number,Player,Team,Seq.
Concourse,1,Andrew Wiggins,Minnesota Timberwolves,
Concourse,2,Bojan Bogdanovic,Brooklyn Nets,
Concourse,3,Dennis Schroder,Atlanta Hawks,
Concourse,4,Frank Kaminsky,Charlotte Hornets,
Concourse,5,James Young,Boston Celtics,
Concourse,6,Jusuf Nurkic,Denver Nuggets,
Concourse,7,Kobe Bryant,Los Angeles Lakers,
Concourse,8,Myles Turner,Indiana Pacers,
Concourse,9,Reggie Jackson,Detroit Pistons,
Concourse,10,Terrence Ross,Toronto Raptors,
Concourse,11,Aaron Harrison,Charlotte Hornets,
Concourse,12,Brook Lopez,Brooklyn Nets,
Concourse,13,Deron Williams,Dallas Mavericks,
Concourse,14,Gary Harris,Denver Nuggets,
Concourse,15,Jarell Martin,Memphis Grizzlies,
Concourse,16,Karl-Anthony Towns,Minnesota Timberwolves,
Concourse,17,Kristaps Porzingis,New York Knicks,
Concourse,18,Nemanja Bjelica,Minnesota Timberwolves,
Concourse,19,Robin Lopez,New York Knicks,
Concourse,20,Terry Rozier,Boston Celtics,
Concourse,21,Alec Burks,Utah Jazz,
Concourse,22,Carmelo Anthony,New York Knicks,
Concourse,23,Derrick Rose,Chicago Bulls,
Concourse,24,Goran Dragic,Miami Heat,
Concourse,25,Jeff Teague,Atlanta Hawks,
Concourse,26,Kawhi Leonard,San Antonio Spurs,
Concourse,27,Kyle Lowry,Toronto Raptors,
Concourse,28,Nicolas Batum,Charlotte Hornets,
Concourse,29,Rodney Stuckey,Indiana Pacers,
Concourse,30,Tim Duncan,San Antonio Spurs,
Concourse,31,Alex Len,Phoenix Suns,
Concourse,32,Chris Paul,Los Angeles Clippers,
Concourse,33,Dirk Nowitzki,Dallas Mavericks,
Concourse,34,Gordon Hayward,Utah Jazz,
Concourse,35,Jerian Grant,New York Knicks,
Concourse,36,Oscar Robertson,Cincinnati Royals,
Concourse,37,Kyrie Irving,Cleveland Cavaliers,
Concourse,38,Nik Stauskas,Philadelphia 76ers,
Concourse,39,Rondae Hollis-Jefferson,Brooklyn Nets,
Concourse,40,Trey Burke,Utah Jazz,
Concourse,41,Al-Farouq Aminu,Portland Trail Blazers,
Concourse,42,Corey Brewer,Houston Rockets,
Concourse,43,Dwyane Wade,Miami Heat,
Concourse,44,Ian Mahinmi,Indiana Pacers,
Concourse,45,Jimmy Butler,Chicago Bulls,
Concourse,46,Kemba Walker,Charlotte Hornets,
Concourse,47,LeBron James,Cleveland Cavaliers,
Concourse,48,Nikola Mirotic,Chicago Bulls,
Concourse,49,Rudy Gay,Sacramento Kings,
Concourse,50,Tyreke Evans,New Orleans Pelicans,
Concourse,51,Amar'e Stoudemire,Miami Heat,
Concourse,52,Damian Lillard,Portland Trail Blazers,
Concourse,53,Elfrid Payton,Orlando Magic,
Concourse,54,J.J. Barea,Dallas Mavericks,
Concourse,55,John Wall,Washington Wizards,
Concourse,56,Kenneth Faried,Denver Nuggets,
Concourse,57,Manu Ginobili,San Antonio Spurs,
Concourse,58,Nikola Vucevic,Orlando Magic,
Concourse,59,Russell Westbrook,Oklahoma City Thunder,
Concourse,60,Victor Oladipo,Orlando Magic,
Concourse,61,Andre Iguodala,Golden State Warriors,
Concourse,62,D'Angelo Russell,Los Angeles Lakers,
Concourse,63,Emmanuel Mudiay,Denver Nuggets,
Concourse,64,Jabari Parker,Milwaukee Bucks,
Concourse,65,Jordan Clarkson,Los Angeles Lakers,
Concourse,66,Kevin Durant,Oklahoma City Thunder,
Concourse,67,Marc Gasol,Memphis Grizzlies,
Concourse,68,Noah Vonleh,Portland Trail Blazers,
Concourse,69,Kelly Oubre Jr.,Washington Wizards,
Concourse,70,Walter Tavares,Atlanta Hawks,
Concourse,71,Anthony Davis,New Orleans Pelicans,
Concourse,72,Darrun Hilliard,Detroit Pistons,
Concourse,73,Eric Bledsoe,Phoenix Suns,
Concourse,74,Jahlil Okafor,Philadelphia 76ers,
Concourse,75,Josh Smith,Los Angeles Clippers,
Concourse,76,Kevin Love,Cleveland Cavaliers,
Concourse,77,Marcus Smart,Boston Celtics,
Concourse,78,Omer Asik,New Orleans Pelicans,
Concourse,79,Serge Ibaka,Oklahoma City Thunder,
Concourse,80,Willie Cauley-Stein,Sacramento Kings,
Concourse,81,Arron Afflalo,New York Knicks,
Concourse,82,Delon Wright,Toronto Raptors,
Concourse,83,Ersan Ilyasova,Detroit Pistons,
Concourse,84,JaKarr Sampson,Philadelphia 76ers,
Concourse,85,Justin Anderson,Dallas Mavericks,
